"Unique.ID","Samp.ID","Sampling.date","year","month","day","Taxon.name","Abundance"
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Ametropus sp.",4
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Anabolia sp.",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Aphelocheirus aestivalis",3
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Asellus aquaticus",22
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Baetis sp.",33
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Brachycentrus subnubilus",40
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Calopteryx splendens",8
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Chironomidae Gen. sp.",59
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Corophiidae Gen. sp.",31
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Ephemera danica",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Erpobdella octoculata",25
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Gammarus pulex",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Gammarus sp.",65
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Gomphus sp.",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Gomphus vulgatissimus",2
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Gyrinus sp. Ad.",2
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Heptagenia sp.",10
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Heptagenia sulphurea",19
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Hydropsyche contubernalis ssp.",40
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Hydropsyche siltalai",2
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Hydropsychidae Gen. sp.",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Limnephilidae Gen. sp.",3
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Limnius sp. Ad.",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Lymnaea sp.",5
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Nemoura sp.",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Oligochaeta Gen. sp.",17
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Onychogomphus forcipatus",2
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Piscicola geometra",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Platambus maculatus Ad.",2
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Platycnemis pennipes",8
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Potamanthus luteus",5
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Simuliidae Gen. sp.",11
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Sphaerium sp.",2
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-04.10.2010","04.10.2010",2010,10,4,"Tipula sp.",4
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-01.10.2012","01.10.2012",2012,10,1,"Aphelocheirus aestivalis",28
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-01.10.2012","01.10.2012",2012,10,1,"Atherix ibis",16
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-01.10.2012","01.10.2012",2012,10,1,"Baetis rhodani",19
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-01.10.2012","01.10.2012",2012,10,1,"Bithynia tentaculata",18
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-01.10.2012","01.10.2012",2012,10,1,"Borysthenia naticina",51
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-01.10.2012","01.10.2012",2012,10,1,"Calopteryx splendens",9
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-01.10.2012","01.10.2012",2012,10,1,"Calopteryx virgo",19
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-01.10.2012","01.10.2012",2012,10,1,"Chelicorophium curvispinum",39
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-01.10.2012","01.10.2012",2012,10,1,"Chironomidae Gen. sp.",214
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-01.10.2012","01.10.2012",2012,10,1,"Dicranota bimaculata",18
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-01.10.2012","01.10.2012",2012,10,1,"Dixa sp.",1
"LTU_053_MZB_LO_1","LTU_053_MZB_LO_1-01.10.2012","01.10.2012",2012,10,1,"Ephemera danica",24
