"Unique.ID","Samp.ID","Sampling.date","year","month","day","ACROLOXUS LACUSTRIS","AMPULLACEANA BALTHICA","ANCYLUS FLUVIATILIS","ANISUS LEUCOSTOMA","ANISUS VORTEX","ANODONTA ANATINA","ASELLUS AQUATICUS","ATHRIPSODES SP.","BAETIDAE GEN. SP.","BATHYOMPHALUS CONTORTUS","BERAEODES MINUTUS","BITHYNIA LEACHII SSP.","BITHYNIA TENTACULATA","BRACHYCENTRUS MACULATUS","BRACHYCENTRUS SUBNUBILUS","BRACHYPTERA RISI","CAENIS HORARIA","CAENIS MACRURA-GR.","CAENIS RIVULORUM","CAENIS ROBUSTA","CALOPTERYX SP.","CALOPTERYX SPLENDENS","CERACLEA DISSIMILIS","CERATOPOGONIDAE GEN. SP.","CHALCOLESTES VIRIDIS","CHIRONOMIDAE GEN. SP.","COENAGRIONIDAE GEN. SP.","CORIXIDAE GEN. SP.","DENDROCOELUM LACTEUM","DICRANOTA SP.","DUGESIA GONOCEPHALA","DYTISCIDAE GEN. SP.","ELMIS SP.","ELODES SP.","EPHEMERA DANICA","ERPOBDELLA SP.","GALBA TRUNCATULA","GAMMARUS SP.","GERRIS SP.","GLOSSIPHONIA COMPLANATA","GLOSSIPHONIA NEBULOSA","GLOSSIPHONIA NEBULOSA/VERRUCATA","GOERA PILOSA","GYRAULUS ALBUS","HALIPLUS SP.","HELOBDELLA STAGNALIS","HELOPHORUS SP.","HEPTAGENIA SP.","HETEROPTERA GEN. SP.","HYDROPSYCHE SP.","HYDROPTILIDAE GEN. SP.","KAGERONIA FUSCOGRISEA","LEPIDOSTOMA HIRTUM","LEPTOPHLEBIIDAE GEN. SP.","LIMNEPHILIDAE GEN. SP.","LIMNIUS SP.","LIMONIIDAE GEN. SP.","LITHAX OBSCURUS","LYPE SP.","MOLANNA ANGUSTATA","MYSTACIDES SP.","NEMOURIDAE GEN. SP.","NEPA CINEREA","NOTERUS CRASSICORNIS","NOTIDOBIA CILIARIS","OLIGOCHAETA GEN. SP.","ORECTOCHILUS VILLOSUS","OULIMNIUS SP.","PHYSA FONTINALIS","PISCICOLA GEOMETRA","PISIDIUM SP.","PLANORBARIUS CORNEUS","POLYCELIS NIGRA","POLYCELIS NIGRA/TENUIS","POLYCENTROPODIDAE GEN. SP.","POTAMOPYRGUS ANTIPODARUM","PROASELLUS SP.","PSYCHODIDAE GEN. SP.","PTYCHOPTERA SP.","RHYACOPHILA SP.","SERRATELLA IGNITA","SIALIS SP.","SIMULIIDAE GEN. SP.","SPHAERIUM SP.","STAGNICOLA SP.","THEODOXUS FLUVIATILIS SSP.","TINODES SP.","TIPULIDAE GEN. SP.","TURBELLARIA GEN. SP.","UNIO TUMIDUS SSP.","VALVATA PISCINALIS SSP.","VIVIPARUS CONTECTUS","VIVIPARUS VIVIPARUS"
"GER_071_MZB_LO_13","GER_071_MZB_LO_13-09.05.2009","09.05.2009",2009,5,9,2.85714,0,0,0,0,0,57.14286,2.85714,88.57142,0,0,2.85714,14.28571,0,0,0,61,0,0,0,1,1,5.71429,0,0,269.57144,0,0,0,0,0,0,2.85714,0,0,20,0,17.14285,0,2.85714,0,0,0,2.85714,0,0,0,0,0,3.85714,49.57143,0,0,0,3.85714,0,0,0,22.85714,7.71429,2.85714,0,0,0,0,297.14286,0,0,0,0,185.71429,0,0,0,5.71429,0,0,0,0,0,0,0,5.71429,28.57143,0,0,0,0,0,0,2.85714,0,5.71429
"GER_071_MZB_LO_13","GER_071_MZB_LO_13-17.06.2010","17.06.2010",2010,6,17,6.4,0,0,0,0,0,207.2,14.4,14.4,0,0,0,4,0,0,0,92,0,0,0,5.6,5.6,11.2,13.6,0,112.8,0,0,0,0,0,0,0,0,0.8,13.6,0,138.4,0.8,2.4,0,0,0,0.8,0,0,0,0,0,1.6,0.8,0,0,0,16.8,0,1.6,0,0.8,3.2,1.6,0,0,0,0,48,0,0,2.4,0,62.4,0,0,0,0,0,0,0,0,0,0,1.6,0,13.6,0,1.6,0,0,0,0.8,0,0,0.8
"GER_071_MZB_LO_13","GER_071_MZB_LO_13-14.06.2011","14.06.2011",2011,6,14,0,3.2,0,0,0,0,8.8,1.6,69.6,0,0,0,0,0,0,0,5.6,0,0,0,3.2,3.2,0,0.8,0,94.4,0.8,0,0,0,0,3.2,0.8,3.2,0,0,0,23.2,0.8,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,1.6,0,0,2.4,0,0,0,0,0,0,12.8,0.8,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0
"GER_071_MZB_LO_13","GER_071_MZB_LO_13-19.06.2012","19.06.2012",2012,6,19,0,3.05,0,0,0,0.76,4.57,3.81,29.71,0,0,0,0,0,0,0,44.19,0,0,0,2.29,2.29,0,6.86,0,653.72,0,0,0,0,1.52,0,0,0,0.76,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,1.52,0,0.76,0,0,0,0,0,0,25.14,0,0,2.29,0.76,16,0,0.76,0,0.76,0,0,0,0,0,0,0,0,0.76,0,0,0,0.76,0,0,0,0,0.76
"GER_071_MZB_LO_13","GER_071_MZB_LO_13-26.06.2013","26.06.2013",2013,6,26,0.8,0.8,0,0,0,0,4.8,0,350.4,0,0,0,0,0,0,0,0,0,0,7.2,3.2,3.2,3.2,3.2,0,104.8,0,0,0,0,0,0,0,0,1.6,0,0,96.8,0,0,0.8,0,0,3.2,0,0,0,0,0,42.4,1.6,0,0,0,0.8,0,0,0,1.6,0,0,0,0,0,0,14.4,0,4,0,0,16,0,0,0,24.8,0,0,0,0,0,1.6,6.4,383.2,0,0,0,0,0,0,0,0,0,0
"GER_071_MZB_LO_13","GER_071_MZB_LO_13-29.06.2015","29.06.2015",2015,6,29,0,26.66667,0,0,0,0,25.14286,1.52381,52.57143,0,0,0,2.28571,0,0,0,11.42857,0,0,0,0,0,6.85714,0,1.52381,244.57143,0,0,0,0,0,0.7619,0,0,0,0,0,13.71429,0,0,0,0,0,10.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7619,0,0,0,0,0,0,6.09524,0,0,0,0,73.14286,0,0,0,3.04762,45.71429,1.52381,0,0,0,0.7619,0,28.95238,3.80952,1.52381,0,0,0,0,0,0,0,0
"GER_071_MZB_LO_13","GER_071_MZB_LO_13-07.06.2016","07.06.2016",2016,6,7,0,9.6,4.8,0,0,0,57.6,0,390.4,0,0,0,0,0,0,0,125.6,0,0,0,2.4,2.4,5.6,4.8,0,1353.6,0,0,0,0,0,0,4.8,0,58.4,0,0,556.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,153.6,0,19.2,0.8,0.8,196.8,0,0,0,9.6,68,0,0,0,0,33.6,53.6,4.8,0,0,0,0,0,0,0,0,0,0
"GER_071_MZB_LO_13","GER_071_MZB_LO_13-26.06.2017","26.06.2017",2017,6,26,0,100.57143,0,0,0,0,82.28571,0,192,0,0,0,9.14286,0,0,0,60.19048,0,0,0,14.47619,14.47619,0,9.14286,22.85714,1103.23809,0,0,0,0,0,14.47619,0,0,38.09524,0,0,165.33333,0,0,0,0,0,9.14286,4.57143,0,0,0,4.57143,0,27.42857,0,0,0,9.90476,0,0,0,12.19048,0,0,0,0.7619,0,0,83.04762,0,4.57143,0,0,36.57143,4.57143,0,0,28.95238,642.28571,4.57143,4.57143,0,0,19.04762,15.2381,13.71429,33.52381,0,4.57143,0,0,0,0,0,0,0
"GER_071_MZB_LO_13","GER_071_MZB_LO_13-01.06.2018","01.06.2018",2018,6,1,0,9.14286,0,0,0,0,54.85714,4.57143,495.2381,0,0,0,0,0,0,0,355.04762,0,0,0,12.19048,12.19048,50.28571,13.71429,9.14286,1635.04761,0,0,0,0,0,0,9.14286,0,20.57143,0,0,100.57143,0,0,0,0,0,0,0,0,0,0,0,4.57143,41.14286,0,0,0,5.33333,0,0,0,53.33333,0,0,0,0,0.7619,0,27.42857,0,9.14286,0,0,100.57143,0,0,0,16.7619,28.19048,0,0,0,0,4.57143,4.57143,114.28571,9.90476,0,0,0,0,0,0,0,0,0
"GER_071_MZB_LO_13","GER_071_MZB_LO_13-29.06.2020","29.06.2020",2020,6,29,0,3.2,1.6,0,0,0,13.6,4.8,96,0,0,0,1.6,0,0,0,48,1.6,0,0,5.6,5.6,1.6,0,0,271.2,0,0,0,3.2,0,0,0,0,7.2,0,0,72,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,3.2,0,1.6,0,0,17.6,0,0,0,3.2,0,0,0,0,0,10.4,24.8,25.6,1.6,0,0,0,0,0,0,0,0,0
