"Unique.ID","Samp.ID","Sampling.date","year","month","day","ADICELLA REDUCTA","AGAPETUS SP.","AMPHINEMURA SP.","ANCYLUS FLUVIATILIS","APHELOCHEIRUS AESTIVALIS","ASELLIDAE GEN. SP.","ATHERIX IBIS","ATHRIPSODES SP.","BAETIDAE GEN. SP.","BERAEODES MINUTUS","BITHYNIA TENTACULATA","BRACHYCENTRUS SUBNUBILUS","BRACHYPTERA SP.","CALOPTERYX SP.","CALOPTERYX SPLENDENS","CERATOPOGONINAE/PALPOMYIINAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLIDAE GEN. SP.","CORDULEGASTER SP.","CORIXIDAE GEN. SP.","DENDROCOELUM LACTEUM","DICRANOTA SP.","DUGESIA SP.","ELMIS SP.","ELODES SP.","EMPIDIDAE GEN. SP.","EPHEMERA SP.","EPHEMERELLIDAE GEN. SP.","EPHEMEROPTERA GEN. SP.","ERPOBDELLIDAE GEN. SP.","ESOLUS SP.","GAMMARUS SP.","GLOSSIPHONIA COMPLANATA","GLOSSOSOMA SP.","GOERIDAE GEN. SP.","GORDIUS AQUATICUS","GYRAULUS ALBUS","HALIPLUS SP.","HELOBDELLA STAGNALIS","HEPTAGENIIDAE GEN. SP.","HETEROPTERA GEN. SP.","HYDRAENA SP.","HYDROPHILIDAE GEN. SP.","HYDROPSYCHE SP.","HYDROPTILA SP.","ISOPERLA SP.","LEPIDOSTOMA BASALE","LEPIDOSTOMA HIRTUM","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMNIUS SP.","LIMNOPHORA SP.","LIMONIIDAE GEN. SP.","LYPE REDUCTA","MICRASEMA LONGULUM","MICRASEMA MINIMUM","MYSTACIDES AZUREA","NECTOPORUS SANMARKII","NEMATODA GEN. SP.","NEMOURA SP.","ODONTOCERUM ALBICORNE","OECETIS TESTACEA","OLIGOCHAETA GEN. SP.","ORECTOCHILUS VILLOSUS","OULIMNIUS SP.","PEDICIA SP.","PERLODES SP.","PISCICOLIDAE GEN. SP.","PISIDIUM SP.","PLATAMBUS MACULATUS","POLYCELIS SP.","POLYCENTROPODIDAE GEN. SP.","POTAMOPYRGUS ANTIPODARUM","PROSIMULIUM SP.","PROTONEMURA SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIA SP.","RIOLUS SP.","SERICOSTOMA SP.","SIALIS SP.","SIMULIUM SP.","SISYRA SP.","STENELMIS SP.","TABANIDAE GEN. SP.","THEROMYZON TESSULATUM","TINODES SP.","TIPULA SP.","TURBELLARIA GEN. SP."
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-02.07.2002","02.07.2002",2002,7,2,0,0,0,0,5.6,0,38.4,2.4,127.2,0,1.6,24.8,0,0,0,0,52.8,0,0,0,0,86.4,0,0,0,0,0,227.2,0,0,0,3146.4,0,0,0,0,0,0,0,4.8,0,0,0,27.2,0,0,0,12,0,86.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0,144.8,0,0,0,0,0,0,2.4
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-21.06.2006","21.06.2006",2006,6,21,0,0,0,38.4,283.2,9.6,0,19.2,118.4,0,9.6,48,0,3.2,3.2,0,76.8,0,0,0,0,68.8,0,0,0,0,30.4,638.4,0,0,0,3313.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2,11.2,0,0,0,0,0,0,0,0,0,0,0,0,19.2,0,0,0,0,1.6,0,0,0,0,0,0,0,0,336,0,0,0,9.6,0,0,0,0,0,0,0
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-20.07.2007","20.07.2007",2007,7,20,0,0,0,2.215384615,20.73846154,0,0.8,0,38.646153841,0,0,6.646153846,0,0,0,0,42.892307686,0,0,0,0,17.72307692,0,0,0,0,0.8,11.87692308,0,0,0,620.49230765,0,0,0,0,0,0,0,0,2.215384615,0,0,10.461538462,0,0,0,0,0,0,0,2.215384615,0,0,0,0,0,0,0,0,0,0,0,42.092307698,0,0,0,0,0,0,0,0,0,0,0,0,0,8.861538462,0,0,0,13.292307692,0,0,0,0,0,0,0
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-11.06.2008","11.06.2008",2008,6,11,0,0,0,9.142857142,48.761904768,0,9.142857142,9.142857142,664.38095242,0,0,214.85714286,0,0,0,0,463.238095168,0,0,0,0,91.42857142,0,0,0,1.523809524,0,839.619047668,0,9.142857142,0,5199.238094474,0,0,0,0,0,0,0,9.142857142,0,0,9.142857142,62.476190468,0,0,0,0,0,13.714285714,0,1.523809524,0,0,0,0,0,0,0,0,0,0,0,121.904761896,0,0,0,0,0,0,0,0,0,0,0,0,0,74.666666664,0,0,0,257.52380952,0,0,0,9.142857142,0,9.142857142,0
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-23.06.2009","23.06.2009",2009,6,23,0,0,0,19.2,19.2,0,0,0,30.4,0,0,29.6,0,0,0,0,24,0,0,0,0,19.2,4.8,0,0,0,0,84,0,4.8,0,1521.6,0,0,0,0,0,0,0,0,0,0,0,14.4,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,0,0,0,0,0,0,0,0,0,0,4.8
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-28.06.2010","28.06.2010",2010,6,28,0,0,0,5.4,14.2,3.6,0,0,16.6,0,0,10.8,0,0,0,0,18,0,0,0,1.8,12.6,0,0,0,0,0.8,39.4,0,0,0,453.4,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,1.8,0,0,0,0,0,0,0,10.8,0,0,0,52.2,0,0,0,0,0,0,0
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-21.07.2011","21.07.2011",2011,7,21,0,0,0,28.8,14.4,2.4,0,0,28,0,0,0.8,0,1.6,1.6,0,24,0,0,0,0,43.2,0,0,0,0,0.8,3.2,0,1.6,0,548.8,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1.6,0,0,0,1.6,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-12.07.2012","12.07.2012",2012,7,12,0,0,0,0,10.28571429,2.057142857,0,0,34.51428572,0,0,4.114285714,0,0,0,0,107.771428561,0,0,2.057142857,0,18.51428571,0,0,0,0,0.8,44,0,0.8,0,880.4571429,0,0,2.057142857,0,0,0,2.057142857,0,0,0,0,21.37142857,2.057142857,0,0,4.114285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.742857147,0,0,0,0,0,4.114285714,0,0,0,0,0,0,0,4.114285714,0,0,0,0,0,0,0,0,0,0,0
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-01.07.2013","01.07.2013",2013,7,1,0,0,0,0,4.8,0,0,4,72.8,0,0,30.4,0,0,0,0,24,0,0,0,0,18.4,0,0,0,0,1.6,72,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,1.6,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,0,0,0.8,0,0,0,0,0,0,0,0,2.4,0,0,0,14.4,0,0,0,0,0,0,0
"GER_019_MZB_LO_1","GER_019_MZB_LO_1-12.06.2014","12.06.2014",2014,6,12,0,0,0,0,20,0,0,24.8,44,0,0,5.6,0,0,0,0,4.8,0,0,0,0,68,0,0,0,0,4.8,58.4,0,1.6,0,3840,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,4.8,0,0,0,0,0,0,0,4.8,0,0,0,4.8,0,0,0,0,0,0,0
