"Unique.ID","Samp.ID","Sampling.date","year","month","day","AGAPETUS SP.","AMPULLACEANA BALTHICA","ANACAENA SP.","ANCYLUS FLUVIATILIS","APHELOCHEIRUS AESTIVALIS","ASELLUS AQUATICUS","ATHERIX IBIS","ATHRIPSODES SP.","ATRICHOPS CRASSIPES","BAETIS SP.","BITHYNIA TENTACULATA","BRACHYCENTRUS MACULATUS","BRACHYCENTRUS SUBNUBILUS","BRYCHIUS ELEVATUS","BRYOZOA GEN. SP.","CAENIS SP.","CALOPTERYX SP.","CALOPTERYX SPLENDENS","CENTROPTILUM LUTEOLUM","CERACLEA SP.","CERATOPOGONIDAE GEN. SP.","CHELICOROPHIUM SP.","CHELIFERA SP.","CHEUMATOPSYCHE LEPIDA","CHIRONOMIDAE GEN. SP.","COENAGRION SP.","CORBICULA FLUMINEA","CORIXIDAE GEN. SP.","CRISTATELLA MUCEDO","CYRNUS TRIMACULATUS","DENDROCOELUM LACTEUM","DICRANOTA SP.","DIKEROGAMMARUS HAEMOBAPHES","DIKEROGAMMARUS VILLOSUS","DREISSENA POLYMORPHA","DUGESIA GONOCEPHALA","DUGESIA LUGUBRIS/POLYCHROA","DUGESIA TIGRINA","ECDYONURUS SP.","ELMIS SP.","EPHEMERA DANICA","EPHEMERA VULGATA","EPHEMERELLA NOTATA","ERPOBDELLIDAE GEN. SP.","ESOLUS SP.","FREDERICELLA SULTANA","GAMMARUS SP.","GERRIS SP.","GLOSSIPHONIA COMPLANATA","GOERA PILOSA","HABROPHLEBIA LAUTA","HELOBDELLA STAGNALIS","HEMERODROMIA SP.","HEPTAGENIA SP.","HYDRA SP.","HYDRAENA GRACILIS","HYDROMETRA STAGNORUM","HYDROPSYCHE SP.","HYDROPTILA SP.","HYDROPTILA SPARSA","HYPANIA INVALIDA","ISOPERLA SP.","ITHYTRICHIA LAMELLARIS","LEPIDOSTOMA BASALE","LEPIDOSTOMA HIRTUM","LEPTOPHLEBIA MARGINATA","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMNIUS SP.","LIMONIIDAE GEN. SP.","LITHOGLYPHUS NATICOIDES","LYPE SP.","MACRONYCHUS QUADRITUBERCULATUS","MOLANNA ANGUSTATA","MYSTACIDES AZUREA","MYSTACIDES NIGRA","OECETIS SP.","OLIGOCHAETA GEN. SP.","OLIGONEURIELLA RHENANA","ORECTOCHILUS VILLOSUS","OULIMNIUS TUBERCULATUS","PARALEPTOPHLEBIA SUBMARGINATA","PERLODES MICROCEPHALUS","PISCICOLIDAE GEN. SP.","PISIDIUM SP.","PLANORBIS PLANORBIS","PLATYCNEMIS PENNIPES","PLUMATELLA SP.","POLYCELIS NIGRA/TENUIS","POLYCENTROPUS FLAVOMACULATUS SSP.","POTAMANTHUS LUTEUS","POTAMOPYRGUS ANTIPODARUM","PROCLOEON BIFIDUM","PSYCHOMYIA PUSILLA","RADIX BALTHICA/LABIATA","RHITHROGENA SEMICOLORATA-GR.","RHYACOPHILA SP.","RIOLUS SP.","SERRATELLA IGNITA","SETODES PUNCTATUS","SIALIS FULIGINOSA","SILO NIGRICORNIS","SIMULIUM SP.","SIPHLONURUS SP.","SISYRA SP.","SPHAERIUM CORNEUM","SPONGILLIDAE GEN. SP.","TABANIDAE GEN. SP.","THEROMYZON TESSULATUM","TIPULA SP.","TORLEYA MAJOR","UNIO SP.","VALVATA PISCINALIS SSP.","ZYGOPTERA GEN. SP."
"GER_069_MZB_LO_32","GER_069_MZB_LO_32-08.04.2009","08.04.2009",2009,4,8,0,0,0,35,80,1,2,2,0,180,20,70,80,0,1,0,3,3,0,3,20,0,0,30,400,0,0,0,0,0,0,0,0,0,0,0,2,0,0,40,0,0,0,12,0,0,182,0,6,0,0,0,0,24,0,0,0,96,0,0,0,35,5,0,20,0,3,10,8,2,0,0,0,0,0,0,0,15,0,15,8,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,1,0,0,0,0,7,48,0,0,30,0,0,1,0,0,0,0,0
"GER_069_MZB_LO_32","GER_069_MZB_LO_32-08.04.2010","08.04.2010",2010,4,8,0,0,0,35,70,8,1,3,0,135,3,20,60,0,0,0,0,0,4,0,0,0,0,30,315,0,0,0,0,0,0,4,0,0,0,0,0,0,0,101,2,0,0,10,2,0,155,0,3,20,0,0,0,33,0,0,0,30,8,8,0,45,7,0,80,0,0,0,25,2,0,0,3,0,0,0,0,50,0,20,1,0,1,0,12,0,0,0,0,0,0,0,0,90,2,0,1,0,0,0,0,6,50,0,0,35,1,0,0,1,0,0,0,0
"GER_069_MZB_LO_32","GER_069_MZB_LO_32-18.04.2011","18.04.2011",2011,4,18,0,0,80,20,50,1,0,6,0,169,15,0,70,0,0,1,1,1,0,0,0,0,0,5,430,0,0,10,0,0,0,6,0,0,0,0,0,0,0,28,0,0,0,3,7,0,152,1,0,15,0,0,0,14,0,0,0,62,70,70,0,15,1,0,35,0,1,1,25,0,0,0,3,0,2,0,0,36,0,4,2,1,0,0,2,0,1,1,0,1,0,0,0,0,0,1,3,0,0,0,0,0,220,0,0,12,0,0,0,0,0,0,0,0
"GER_069_MZB_LO_32","GER_069_MZB_LO_32-31.05.2012","31.05.2012",2012,5,31,1,0,0,10,50,0,0,10,0,315,5,0,120,0,1,2,1,1,0,7,3,0,0,6,320,0,0,1,0,0,0,15,0,0,0,2,3,0,0,28,2,0,0,6,1,0,0,0,0,0,0,0,0,8,0,0,0,50,31,31,0,0,0,0,30,0,10,0,12,0,0,3,4,0,0,0,0,40,0,2,8,0,0,1,3,0,0,0,0,3,0,2,5,35,0,1,3,0,80,0,0,1,752,0,0,15,1,0,0,0,0,0,0,0
"GER_069_MZB_LO_32","GER_069_MZB_LO_32-26.05.2014","26.05.2014",2014,5,26,0,0,0,4,50,1,0,9,0,225,15,0,70,0,0,8,1,1,0,1,10,0,0,40,307,0,0,0,0,0,0,0,0,0,0,0,7,0,0,40,4,0,0,6,0,0,206,0,3,0,0,1,0,17,0,0,0,41,5,5,0,0,0,0,8,0,4,8,6,6,0,0,1,0,0,0,0,15,0,12,10,0,0,2,1,0,0,0,0,0,0,0,0,50,0,0,3,0,50,0,0,15,255,0,0,20,0,0,0,0,0,0,0,0
"GER_069_MZB_LO_32","GER_069_MZB_LO_32-05.04.2016","05.04.2016",2016,4,5,0,0,0,10,20,0,0,0,0,40,1,0,12,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,0,0,28,0,0,2,0,0,0,4,0,0,0,16,5,5,0,1,0,0,3,0,0,2,1,4,0,0,0,0,0,0,1,15,0,2,0,0,0,0,6,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,13,0,0,10,0,0,0,0,0,0,0,0
"GER_069_MZB_LO_32","GER_069_MZB_LO_32-23.03.2017","23.03.2017",2017,3,23,0,0,0,20,50,3,0,2,0,120,6,0,50,0,0,0,0,0,1,0,0,0,0,25,341,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,3,0,0,5,0,0,160,0,2,15,0,0,0,18,0,0,0,47,20,20,0,5,5,0,12,0,0,0,20,7,0,0,0,0,0,0,0,20,0,6,6,0,0,1,2,0,0,0,0,2,0,5,0,40,0,0,2,0,0,0,0,15,27,0,0,30,0,0,0,0,0,0,0,0
"GER_069_MZB_LO_32","GER_069_MZB_LO_32-07.05.2018","07.05.2018",2018,5,7,0,0,0,4,15,1,0,15,0,184,8,0,100,0,1,6,0,0,0,2,1,0,0,15,80,0,0,0,0,0,0,2,0,0,0,0,1,0,3,24,8,1,0,6,20,0,43,0,0,5,0,0,0,7,0,0,0,45,30,30,0,0,5,0,2,0,6,2,9,3,0,0,1,0,0,0,0,37,0,8,1,0,0,0,15,0,0,0,0,2,1,1,0,50,0,0,0,1,40,0,0,1,491,0,0,10,0,0,0,1,0,0,0,0
"GER_069_MZB_LO_32","GER_069_MZB_LO_32-04.04.2019","04.04.2019",2019,4,4,0,0,0,3,3,0,0,8,2,121,7,0,40,0,0,3,2,2,0,0,2,0,0,7,433,0,0,0,0,0,0,6,0,0,0,0,2,2,0,25,0,0,0,6,18,0,52,0,1,0,0,0,0,3,0,0,0,43,21,21,0,0,8,0,5,1,1,2,5,2,0,0,0,0,0,0,0,16,0,20,3,0,1,1,3,0,0,0,1,0,3,2,0,20,0,0,0,0,1,1,0,1,400,0,0,3,0,0,0,0,0,1,0,0
"GER_069_MZB_LO_32","GER_069_MZB_LO_32-27.04.2020","27.04.2020",2020,4,27,0,0,0,1,11,1,0,11,2,180,1,0,60,0,0,20,2,2,0,2,2,0,0,2,311,0,0,0,0,0,0,4,0,0,0,0,1,0,0,23,3,0,0,1,20,1,35,0,0,12,0,0,0,3,0,0,0,15,40,40,0,0,2,0,15,0,0,2,6,1,1,0,3,0,0,0,0,30,0,3,7,1,0,0,2,0,0,0,1,0,5,2,0,40,0,0,0,0,10,0,0,2,590,0,1,2,1,0,0,0,0,0,0,0
"GER_069_MZB_LO_37","GER_069_MZB_LO_37-21.05.2007","21.05.2007",2007,5,21,0,0,0,1,60,1,0,90,0,211,0,0,60,0,0,25,0,0,1,30,0,0,0,400,180,0,0,0,0,0,0,0,0,50,0,0,5,0,18,15,25,0,0,3,20,0,75,0,1,20,0,1,0,19,0,0,0,91,1,1,0,0,0,7,2,0,1,1,8,14,0,0,0,0,0,0,1,100,0,14,40,0,0,1,7,0,1,0,0,7,400,0,7,60,0,0,1,3,70,0,0,1,50,0,0,20,0,0,0,0,15,0,0,5
"GER_069_MZB_LO_37","GER_069_MZB_LO_37-26.05.2009","26.05.2009",2009,5,26,0,1,0,6,30,1,0,110,0,55,3,0,250,0,0,70,3,3,2,26,2,25,0,70,125,1,0,15,0,0,0,0,0,60,2,0,3,0,22,30,9,0,2,6,35,0,80,0,1,15,0,2,0,17,0,0,0,50,15,15,0,0,3,0,4,0,8,3,359,4,0,3,0,2,0,0,0,30,1,20,6,0,0,1,20,1,0,0,0,0,180,1,1,50,0,0,0,2,160,0,0,0,60,0,0,18,0,1,0,0,15,1,0,0
"GER_069_MZB_LO_37","GER_069_MZB_LO_37-25.05.2010","25.05.2010",2010,5,25,0,0,0,2,40,0,1,41,0,240,2,0,80,0,0,40,1,1,5,1,1,100,0,50,225,0,0,0,0,0,0,0,0,60,1,0,2,0,16,20,20,0,3,6,60,0,1,0,1,15,0,1,0,30,2,1,0,95,2,2,2,0,0,0,10,0,1,5,20,27,0,0,0,1,0,0,0,71,0,15,20,0,0,3,2,0,0,0,1,1,250,1,15,70,1,0,3,11,20,0,0,0,79,1,0,10,0,0,0,0,20,0,0,0
"GER_069_MZB_LO_37","GER_069_MZB_LO_37-20.04.2011","20.04.2011",2011,4,20,0,0,1,0,30,0,0,12,0,95,0,0,25,0,0,5,1,1,10,1,7,70,0,30,470,0,0,2,0,0,0,0,0,25,0,0,0,0,6,20,6,0,12,1,50,0,50,0,2,2,0,0,0,26,0,0,0,80,0,0,2,5,1,0,0,0,1,3,18,3,0,0,0,0,1,0,0,41,0,20,15,0,0,0,15,0,0,0,2,1,150,0,0,120,0,0,0,6,3,0,1,0,2,0,0,2,0,0,0,0,20,0,1,0
"GER_069_MZB_LO_37","GER_069_MZB_LO_37-10.05.2012","10.05.2012",2012,5,10,0,0,0,2,30,0,0,42,0,280,1,0,20,0,0,18,0,0,6,23,10,15,0,60,205,0,0,20,0,0,0,0,0,50,1,0,1,0,8,19,7,0,7,6,20,0,25,0,0,10,0,1,0,7,0,0,0,46,7,7,1,0,0,0,40,0,1,5,2,6,0,1,0,0,2,4,1,50,0,17,15,0,0,0,30,0,0,1,0,6,80,1,15,30,0,0,0,1,100,0,0,0,1,1,0,20,0,0,0,0,15,0,0,0
"GER_069_MZB_LO_37","GER_069_MZB_LO_37-16.05.2013","16.05.2013",2013,5,16,0,0,0,0,10,0,1,38,1,190,1,0,110,0,0,41,1,1,7,10,5,60,0,40,160,0,0,10,1,0,0,0,0,50,0,0,0,0,3,15,20,0,4,4,15,0,3,0,1,15,0,2,1,13,1,0,1,51,25,25,10,0,0,0,15,0,0,7,3,5,0,0,1,0,0,0,0,40,0,6,3,0,0,0,33,0,0,0,0,0,300,12,30,30,2,0,1,14,120,0,0,0,32,1,0,10,0,0,0,0,25,0,20,0
"GER_069_MZB_LO_37","GER_069_MZB_LO_37-19.05.2014","19.05.2014",2014,5,19,0,0,0,1,8,0,1,17,0,55,1,0,15,0,0,27,0,0,4,4,1,80,1,40,301,0,3,5,0,0,0,1,1,40,1,0,3,0,4,4,12,0,0,7,6,0,2,0,2,15,0,0,0,8,0,0,1,51,6,6,25,0,0,0,0,0,0,1,12,3,0,0,0,0,0,2,2,25,0,2,3,0,0,1,40,0,0,8,0,1,100,17,10,30,1,0,1,24,80,0,0,0,1,0,0,7,0,0,0,0,4,0,0,0
"GER_069_MZB_LO_37","GER_069_MZB_LO_37-09.05.2016","09.05.2016",2016,5,9,0,1,0,3,4,0,1,20,1,18,2,0,35,1,0,13,1,1,2,1,4,70,0,40,180,0,20,30,0,1,0,0,0,40,1,0,2,0,0,2,10,0,1,3,9,0,0,0,0,15,1,3,0,7,1,0,0,34,6,6,15,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,1,25,0,4,3,0,0,0,23,0,1,1,0,2,120,40,5,5,0,0,0,5,60,0,0,0,1,0,0,8,0,0,1,0,10,0,0,0
"GER_069_MZB_LO_37","GER_069_MZB_LO_37-18.05.2017","18.05.2017",2017,5,18,0,1,0,2,20,0,1,15,0,59,3,0,50,0,0,25,1,1,3,2,0,60,1,35,220,0,15,0,0,0,1,1,0,40,3,0,2,0,6,18,10,0,3,5,25,0,3,0,1,10,0,1,0,12,0,0,1,68,10,10,25,0,0,0,6,0,1,6,15,20,0,0,0,1,0,0,0,32,0,10,12,0,0,4,7,0,0,0,0,0,80,5,8,40,0,0,1,10,70,0,0,0,55,0,0,20,1,0,0,0,15,0,0,0
"GER_069_MZB_LO_37","GER_069_MZB_LO_37-17.05.2018","17.05.2018",2018,5,17,0,0,0,0,0,0,0,1,0,60,1,0,30,0,0,30,0,0,3,1,0,70,0,30,302,0,12,10,0,0,0,0,0,150,4,0,0,0,3,8,2,0,0,2,6,0,0,0,0,4,0,0,4,0,2,0,0,21,5,5,30,0,0,0,0,0,0,2,2,16,0,0,0,0,0,0,0,22,0,1,3,0,0,3,5,0,0,1,1,1,150,20,8,5,0,0,0,24,120,0,0,0,6,0,0,8,0,0,0,0,12,0,0,0
