"Unique.ID","Samp.ID","Sampling.date","year","month","day","AGABUS STURMII","AGRIOTYPUS ARMATUS","AMELETUS INOPINATUS","AMPHINEMURA SP.","ANACAENA GLOBULUS","APATANIA SP.","BAETIS SP.","BRACHYPTERA SP.","CAPNIA VIDUA SSP.","CERATOPOGONINAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLIDAE GEN. SP.","CRUNOECIA SP.","DERONECTES PLATYNOTUS","DICRANOTA SP.","DIURA BICAUDATA","ECDYONURUS SP.","ELMIS SP.","ELODES SP.","ESOLUS ANGUSTATUS","GAMMARUS FOSSARUM","GERRIS SP.","GLOSSOSOMATIDAE GEN. SP.","HABROPHLEBIA LAUTA","HYDRACHNIDIA GEN. SP.","HYDRAENA SP.","HYDROPSYCHE TENUIS","ISOPERLA SP.","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMNIUS PERRISI","LIMONIIDAE GEN. SP.","LITHAX NIGER","MICRASEMA LONGULUM","MICRASEMA MINIMUM","NECTOPORUS SANMARKII","NEMOURA SP.","NEMURELLA PICTETII","NIPHARGUS SP.","ODONTOCERUM ALBICORNE","OLIGOCHAETA GEN. SP.","PEDICIA SP.","PERLODES SP.","PHILOPOTAMUS LUDIFICATUS","PISIDIUM SP.","PLECTROCNEMIA SP.","POLYCELIS FELINA","PROTONEMURA SP.","PTILOCOLEPUS GRANULATUS GRANULATUS","RHITHROGENA SP.","RHYACOPHILA SP.","SERICOSTOMATIDAE GEN. SP.","SIALIS FULIGINOSA","SILO SP.","SIMULIIDAE GEN. SP.","SIPHLONURUS LACUSTRIS","TIPULIDAE GEN. SP.","VELIA CAPRAI SSP."
"GER_021_MZB_LO_1","GER_021_MZB_LO_1-09.06.1983","09.06.1983",1983,6,9,6,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,6,38,6,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,6,20,0,0,20,6,0,20,6,0,0,0
"GER_021_MZB_LO_1","GER_021_MZB_LO_1-15.04.1987","15.04.1987",1987,4,15,0,0,0,0,0,6,0,20,0,0,0,0,0,0,0,6,0,1,0,0,0,0,20,0,0,0,0,20,6,30,0,0,0,6,6,0,0,0,0,0,0,0,1,6,0,0,0,6,0,0,18,6,0,20,0,0,0,0
"GER_021_MZB_LO_1","GER_021_MZB_LO_1-12.06.1989","12.06.1989",1989,6,12,0,0,0,7,0,6,0,6,0,0,200,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,32,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,20,0,0,6,0,0,6,20,0,1,0
"GER_021_MZB_LO_1","GER_021_MZB_LO_1-17.06.1991","17.06.1991",1991,6,17,0,0,65,21,0,6,0,0,0,1,20,20,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,21,106,20,0,0,0,0,6,0,0,0,0,6,0,0,6,0,0,0,7,0,1,7,0,1,6,12,0,0,0
"GER_021_MZB_LO_1","GER_021_MZB_LO_1-20.06.1994","20.06.1994",1994,6,20,0,0,6,20,0,65,20,20,0,0,20,6,0,0,0,6,0,0,12,0,0,0,6,0,0,0,0,20,201,185,200,6,0,6,0,20,0,0,0,20,65,0,0,6,0,6,6,202,0,0,72,6,6,65,7,0,0,0
"GER_021_MZB_LO_1","GER_021_MZB_LO_1-07.06.1995","07.06.1995",1995,6,7,0,0,20,2,0,65,0,20,0,0,6,1,0,0,6,20,0,6,0,0,0,0,0,0,0,0,0,65,24,171,6,0,0,0,0,0,0,0,0,20,1,0,0,6,0,0,20,23,0,0,7,6,65,20,0,0,6,6
"GER_021_MZB_LO_1","GER_021_MZB_LO_1-28.05.1996","28.05.1996",1996,5,28,0,1,20,0,1,6,0,200,0,0,6,20,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,20,24,97,65,0,1,20,0,1,1,0,0,6,6,0,1,1,0,20,0,21,0,0,21,6,0,20,6,0,0,0
"GER_021_MZB_LO_1","GER_021_MZB_LO_1-15.05.1997","15.05.1997",1997,5,15,0,0,6,20,0,20,7,65,6,0,6,20,1,0,6,6,1,6,0,0,0,0,0,0,0,6,0,20,132,112,20,0,6,20,1,20,0,0,0,6,6,0,6,6,0,6,0,20,0,0,22,20,0,20,1,0,0,0
"GER_021_MZB_LO_1","GER_021_MZB_LO_1-14.05.1998","14.05.1998",1998,5,14,0,0,6,0,0,1,6,65,0,0,6,6,0,0,6,6,0,6,0,0,0,6,0,0,0,0,6,20,22,60,20,0,1,20,0,0,1,0,0,6,6,0,6,6,0,0,0,21,0,0,20,6,0,6,6,0,0,0
"GER_021_MZB_LO_1","GER_021_MZB_LO_1-25.05.1999","25.05.1999",1999,5,25,0,0,0,6,0,20,6,200,0,0,20,20,0,0,0,0,0,6,0,6,0,0,0,0,6,0,0,20,70,97,65,6,6,6,0,0,0,0,0,20,6,6,0,0,1,6,0,67,0,0,65,20,1,65,6,0,0,0
