"Unique.ID","Samp.ID","Sampling.date","year","month","day","Taxon.name","Abundance"
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-05.05.2009","05.05.2009",2009,5,5,"BAETIDAE GEN. SP.",0.8
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-05.05.2009","05.05.2009",2009,5,5,"CAENIS SP.",1.6
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-05.05.2009","05.05.2009",2009,5,5,"CORBICULA SP.",8
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-05.05.2009","05.05.2009",2009,5,5,"DIKEROGAMMARUS SP.",1.6
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-05.05.2009","05.05.2009",2009,5,5,"ECHINOGAMMARUS ISCHNUS",0.8
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-05.05.2009","05.05.2009",2009,5,5,"JAERA SARSI",1.6
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-05.05.2009","05.05.2009",2009,5,5,"LEUCTRA SP.",1.6
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-05.05.2009","05.05.2009",2009,5,5,"OLIGOCHAETA GEN. SP.",56.8
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-05.05.2009","05.05.2009",2009,5,5,"PLANORBIDAE GEN. SP.",0.8
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-03.05.2011","03.05.2011",2011,5,3,"ATHERICIDAE GEN. SP.",0.8
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-03.05.2011","03.05.2011",2011,5,3,"CHELICOROPHIUM SP.",7.2
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-03.05.2011","03.05.2011",2011,5,3,"CHEUMATOPSYCHE LEPIDA",5.6
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-03.05.2011","03.05.2011",2011,5,3,"CHIRONOMIDAE GEN. SP.",2.4
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-03.05.2011","03.05.2011",2011,5,3,"CORBICULA SP.",6.4
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-03.05.2011","03.05.2011",2011,5,3,"DIKEROGAMMARUS SP.",72.8
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-03.05.2011","03.05.2011",2011,5,3,"ELMIS SP.",0.8
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-03.05.2011","03.05.2011",2011,5,3,"ERPOBDELLIDAE GEN. SP.",0.8
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-03.05.2011","03.05.2011",2011,5,3,"ESOLUS SP.",8.8
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-03.05.2011","03.05.2011",2011,5,3,"GAMMAROIDEA GEN. SP.",23.2
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-03.05.2011","03.05.2011",2011,5,3,"HYDROPSYCHE SP.",0.8
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-03.05.2011","03.05.2011",2011,5,3,"JAERA SARSI",12
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-03.05.2011","03.05.2011",2011,5,3,"LEUCTRA SP.",0.8
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-03.05.2011","03.05.2011",2011,5,3,"LIMNIUS SP.",5.6
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-03.05.2011","03.05.2011",2011,5,3,"OLIGOCHAETA GEN. SP.",70.4
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-03.05.2011","03.05.2011",2011,5,3,"PLANORBIDAE GEN. SP.",9.6
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-03.05.2011","03.05.2011",2011,5,3,"PSYCHOMYIA PUSILLA",5.6
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-08.05.2012","08.05.2012",2012,5,8,"BAETIDAE GEN. SP.",0.8
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-08.05.2012","08.05.2012",2012,5,8,"BRACHYCENTRUS SP.",4
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-08.05.2012","08.05.2012",2012,5,8,"CHELICOROPHIUM SP.",1.6
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-08.05.2012","08.05.2012",2012,5,8,"CHEUMATOPSYCHE LEPIDA",1.6
"GER_070_MZB_LO_1","GER_070_MZB_LO_1-08.05.2012","08.05.2012",2012,5,8,"CHIRONOMIDAE GEN. SP.",4.8
