Site ID;Sample ID;Sampling date;Taxon name;Taxon ID;Abundance;Definition of abundance class;Abundance class;Site_ID_Ellen;;
KS1;;14.04.2010;Pisidium sp.;6425;2;;;108000003;;
KS1;;14.04.2010;Deronectes latus Ad.;11829;2,8;;;108000003;;
KS1;;14.04.2010;Elmis sp. Lv.;5095;8;;;108000003;;
KS1;;14.04.2010;Limnius perrisi Ad.;12092;2;;;108000003;;
KS1;;14.04.2010;Limnius perrisi Lv.;5852;30;;;108000003;;
KS1;;14.04.2010;Limnius volckmari Lv.;5854;66;;;108000003;;
KS1;;14.04.2010;Oulimnius tuberculatus Lv.;6261;4;;;108000003;;
KS1;;14.04.2010;Orectochilus villosus Lv.;6200;2;;;108000003;;
KS1;;14.04.2010;Hydrocyphon deflexicollis Lv.;14053;106;;;108000003;;
KS1;;14.04.2010;Atherix/Ibisia sp.;20196;12;;;108000003;;
KS1;;14.04.2010;Ceratopogoninae Gen. sp.;10725;16;;;108000003;;
KS1;;14.04.2010;Chironomidae Gen. sp.;4642;26;;;108000003;;
KS1;;14.04.2010;Tanypodinae Gen. sp.;6972;12;;;108000003;;
KS1;;14.04.2010;Tanytarsini Gen. sp.;6977;8;;;108000003;;
KS1;;14.04.2010;Eloeophila sp.;9654;32;;;108000003;;
KS1;;14.04.2010;Prosimulium sp.;6591;106;;;108000003;;
KS1;;14.04.2010;Simulium sp.;6853;4;;;108000003;;
KS1;;14.04.2010;Baetis rhodani;4415;16;;;108000003;;
KS1;;14.04.2010;Baetis niger;4410;18;;;108000003;;
KS1;;14.04.2010;Baetis sp.;4419;40;;;108000003;;
KS1;;14.04.2010;Ephemera danica;5124;38;;;108000003;;
KS1;;14.04.2010;Ecdyonurus venosus-Gr.;5059;11,6;;;108000003;;
KS1;;14.04.2010;Epeorus assimilis;12550;2;;;108000003;;
KS1;;14.04.2010;Rhithrogena semicolorata-Gr.;6745;20;;;108000003;;
KS1;;14.04.2010;Habroleptoides confusa;5367;0,8;;;108000003;;
KS1;;14.04.2010;Habrophlebia lauta;5370;4;;;108000003;;
KS1;;14.04.2010;Ancylus fluviatilis;4310;2,8;;;108000003;;
KS1;;14.04.2010;Sialis fuliginosa;6821;1,6;;;108000003;;
KS1;;14.04.2010;Calopteryx splendens;4530;0,8;;;108000003;;
KS1;;14.04.2010;Cordulegaster boltonii;4740;0,8;;;108000003;;
KS1;;14.04.2010;Oligochaeta Gen. sp.;8736;4;;;108000003;;
KS1;;14.04.2010;Siphonoperla sp.;6867;10;;;108000003;;
KS1;;14.04.2010;Leuctra braueri;5751;6;;;108000003;;
KS1;;14.04.2010;Leuctra nigra;5779;2;;;108000003;;
KS1;;14.04.2010;Leuctra sp.;5790;10;;;108000003;;
KS1;;14.04.2010;Amphinemura sp.;4293;4;;;108000003;;
KS1;;14.04.2010;Nemoura sp.;6108;2;;;108000003;;
KS1;;14.04.2010;Protonemura sp.;6616;32,8;;;108000003;;
KS1;;14.04.2010;Isoperla sp.;5673;0,8;;;108000003;;
KS1;;14.04.2010;Brachyptera risi;4487;20,8;;;108000003;;
KS1;;14.04.2010;Hydropsyche dinarica;5594;7,6;;;108000003;;
KS1;;14.04.2010;Hydropsyche pellucidula;5601;7,6;;;108000003;;
KS1;;14.04.2010;Hydropsyche siltalai;5604;4,8;;;108000003;;
KS1;;14.04.2010;Halesus digitatus/radiatus/tesselatus;13125;4;;;108000003;;
KS1;;14.04.2010;Chaetopterygini/Stenophylacini Gen. Sp.;10370;8;;;108000003;;
KS1;;14.04.2010;Odontocerum albicorne;6168;8;;;108000003;;
KS1;;14.04.2010;Polycentropus flavomaculatus flavomaculatus;6468;4;;;108000003;;
KS1;;14.04.2010;Lype sp.;8847;2;;;108000003;;
KS1;;14.04.2010;Sericostoma flavicorne/personatum;9747;11,6;;;108000003;;
KS1;;14.04.2010;Dugesia sp.;5021;4;;;108000003;;
KS1;;15.04.2011;Deronectes latus Ad.;11829;2,4;;;108000003;;
KS1;;15.04.2011;Limnius perrisi Lv.;5852;4,8;;;108000003;;
KS1;;15.04.2011;Limnius volckmari Ad.;12094;1,6;;;108000003;;
KS1;;15.04.2011;Limnius volckmari Lv.;5854;14,4;;;108000003;;
KS1;;15.04.2011;Oulimnius tuberculatus Ad.;12105;1,6;;;108000003;;
KS1;;15.04.2011;Oulimnius tuberculatus Lv.;6261;5,6;;;108000003;;
KS1;;15.04.2011;Orectochilus villosus Lv.;6200;0,8;;;108000003;;
KS1;;15.04.2011;Hydrocyphon deflexicollis Lv.;14053;2,4;;;108000003;;
KS1;;15.04.2011;Ceratopogoninae Gen. sp.;10725;4;;;108000003;;
