"site_id","sgn_id","sample_id","year","month","day","AFGHANURUS JOERNENSIS","AGAPETUS OCHRIPES","AGRYPNIA SP.","AMELETUS INOPINATUS","AMPHINEMURA BOREALIS","AMPHINEMURA SULCICOLLIS","ASELLUS AQUATICUS","ATHERIX IBIS","ATHRIPSODES SP.","BAETIS DIGITATUS/NIGER","BAETIS MUTICUS","BAETIS RHODANI","BAETIS VERNUS-GR.","BATHYOMPHALUS CONTORTUS","CAENIS HORARIA","CAENIS RIVULORUM","CALLICORIXA SP.","CALOPTERYX VIRGO","CAPNIA SP.","CAPNOPSIS SCHILLERI SSP.","CENTROPTILUM LUTEOLUM","CERACLEA ANNULICORNIS","CERACLEA EXCISA","CERACLEA NIGRONERVOSA","CERATOPOGONIDAE GEN. SP.","CHEUMATOPSYCHE LEPIDA","CHIRONOMIDAE GEN. SP.","COENAGRION SP.","CORDULIIDAE GEN. SP.","CORIXA SP.","CYMATIAINAE GEN. SP.","DICRANOTA SP.","DIURA BICAUDATA","DIURA NANSENI","DIXIDAE GEN. SP.","DYTISCIDAE GEN. SP. AD.","ELMIS AENEA AD.","ELODES SP. LV.","ELOEOPHILA SP.","EMPIDIDAE GEN. SP.","EPHEMERA DANICA","EPHEMERA VULGATA","EPHEMERELLA ARONI","EPHEMERELLA MUCRONATA","GAMMARUS LACUSTRIS","GLOSSIPHONIA COMPLANATA","GLOSSOSOMA INTERMEDIUM","GYRAULUS SP.","HABROPHLEBIA LAUTA","HELOBDELLA STAGNALIS","HEPTAGENIA DALECARLICA","HEPTAGENIA SULPHUREA","HOLOSTOMIS ATRATA","HYDRAENA SP. AD.","HYDROPSYCHE ANGUSTIPENNIS SSP.","HYDROPSYCHE CONTUBERNALIS SSP.","HYDROPSYCHE PELLUCIDULA","HYDROPSYCHE SAXONICA","HYDROPSYCHE SILFVENII","HYDROPSYCHE SILTALAI","HYDROPTILA SP.","ISOPERLA SP.","ITHYTRICHIA LAMELLARIS","KAGERONIA FUSCOGRISEA","LEPIDOSTOMA HIRTUM","LEPTOPHLEBIA SP.","LEUCTRA DIGITATA/FUSCA/HIPPOPUS","LEUCTRA NIGRA","LIMNEBIUS SP. AD.","LIMNEPHILIDAE GEN. SP.","LIMNIUS VOLCKMARI AD.","LIMNOPHORA SP.","LYMNAEA STAGNALIS","LYPE SP.","MICRASEMA GELIDUM","MICRASEMA SETIFERUM SSP.","MOLANNA SP.","MOLANNODES TINCTUS","MYSTACIDES SP.","NEMOURA SP.","NEMURELLA PICTETII","NEURECLIPSIS BIMACULATA","OLIGOSTOMIS RETICULATA","OULIMNIUS TUBERCULATUS AD.","OXYETHIRA SP.","PEDICIA SP.","PHILOPOTAMUS MONTANUS SSP.","PHRYGANEA SP.","PLANORBIS SP.","PLECTROCNEMIA CONSPERSA SSP.","POLYCENTROPUS FLAVOMACULATUS SSP.","POLYCENTROPUS IRRORATUS","PRIONOCERA TURCICA","PROCLOEON BIFIDUM","PROTONEMURA SP.","PSYCHODIDAE GEN. SP.","PTYCHOPTERA SP.","RADIX BALTHICA/LABIATA","RHYACOPHILA SP.","SCIOMYZIDAE GEN. SP.","SERICOSTOMA PERSONATUM","SERRATELLA IGNITA","SIALIS SP.","SIGARA SP.","SILO PALLIPES","SIMULIIDAE GEN. SP.","SIPHONOPERLA BURMEISTERI","SPHAERIIDAE GEN. SP.","STAGNICOLA PALUSTRIS","STRATIOMYIDAE GEN. SP.","TAENIOPTERYX NEBULOSA","TIPULA SP.","VALVATA SP.","WORMALDIA SUBNIGRA","YLODES SP."
119000001,"FIN_013_MZB_LO_10","119000001_NA.09.2000",2000,"9",NA,0,0,0,4,4,0,0,0,0,0,10,615,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,20,0,0,219,0,0,75,0,0,3,0,0,0,1,1,4,0,61,0,0,50,6,0,0,85,0,0,0,15,0,0,12,0,148,0,0,13,36,0,0,0,4,0,0,0,0,15,0,0,0,0,0,0,12,0,0,0,2,0,4,0,113,77,0,0,46,0,27,0,1,0,2,234,26,0,0,0,3,0,0,0,0
119000001,"FIN_013_MZB_LO_10","119000001_NA.09.2001",2001,"9",NA,0,4,0,0,0,0,0,0,0,2,46,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,24,2,0,114,0,0,0,0,0,0,0,0,0,8,0,0,0,34,0,0,34,0,0,0,166,0,0,0,2,0,0,0,0,40,0,0,2,62,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,20,0,0,0,0,0,0,0,14,2,0,0,22,0,14,0,0,0,0,44,20,0,0,0,0,0,0,0,0
119000001,"FIN_013_MZB_LO_10","119000001_NA.09.2002",2002,"9",NA,0,0,0,2,0,0,0,0,0,0,48,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,66,0,0,4,0,0,0,0,0,0,0,2,0,0,18,0,0,64,0,0,0,14,0,0,0,16,0,0,0,0,46,0,0,0,8,0,0,0,0,0,0,0,0,30,0,0,0,2,0,0,0,0,0,0,0,0,0,0,44,30,0,0,6,0,12,0,0,0,0,70,6,0,0,0,0,0,0,0,0
119000001,"FIN_013_MZB_LO_10","119000001_NA.09.2003",2003,"9",NA,0,1,0,20,1,0,0,0,0,176,143,351,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,4,15,0,61,0,0,0,0,0,0,0,0,0,4,0,159,0,20,0,0,28,0,0,0,21,0,0,0,5,0,1,3,0,110,0,0,10,24,0,0,0,0,0,0,2,0,35,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,5,0,0,10,0,8,0,2,0,6,17,5,0,0,0,0,0,0,0,0
119000001,"FIN_013_MZB_LO_10","119000001_NA.09.2004",2004,"9",NA,0,0,0,3,0,0,0,0,0,20,325,349,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,2,0,0,192,0,0,4,0,0,0,0,0,0,2,0,26,0,56,0,0,16,0,0,0,6,0,1,0,2,3,0,3,0,38,0,0,1,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,21,0,0,10,0,5,0,2,0,3,14,30,0,0,0,3,0,0,0,0
119000001,"FIN_013_MZB_LO_10","119000001_NA.09.2005",2005,"9",NA,0,1,0,1,0,0,0,0,0,12,94,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,42,0,0,0,0,0,0,0,0,0,1,0,10,0,38,0,0,19,0,0,0,16,0,0,0,3,0,0,0,0,41,0,0,1,14,0,0,0,6,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,59,0,0,7,0,7,0,0,0,0,37,17,0,0,0,0,0,0,0,0
119000001,"FIN_013_MZB_LO_10","119000001_NA.09.2006",2006,"9",NA,0,0,0,15,15,0,0,0,0,85,134,71,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,1,0,9,0,0,17,1,0,3,0,0,1,0,0,0,1,0,74,0,29,0,0,6,0,0,0,5,0,0,0,1,0,0,1,0,70,0,0,20,8,0,0,0,5,0,0,0,0,29,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,23,0,0,10,0,16,0,0,0,2,14,14,0,0,1,1,0,0,0,0
119000001,"FIN_013_MZB_LO_10","119000001_NA.09.2007",2007,"9",NA,0,0,0,3,2,0,0,0,0,0,32,289,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,9,1,0,37,0,1,0,0,0,0,0,0,0,1,0,34,0,34,0,0,23,0,0,0,31,0,0,0,1,0,0,0,0,53,0,0,8,4,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,17,0,0,19,0,11,0,1,0,4,70,41,0,0,0,0,0,0,0,0
119000001,"FIN_013_MZB_LO_10","119000001_NA.09.2008",2008,"9",NA,0,4,0,3,0,0,0,0,0,34,68,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,28,0,0,65,0,0,2,0,0,0,0,0,0,2,0,53,0,132,0,0,69,0,0,0,38,0,1,0,4,0,0,7,0,44,0,0,8,41,0,0,0,1,0,0,0,0,31,0,0,0,0,0,0,44,0,0,0,1,0,1,0,7,27,0,0,41,0,73,0,2,0,14,23,25,0,0,0,4,0,0,2,0
119000001,"FIN_013_MZB_LO_10","119000001_NA.09.2009",2009,"9",NA,0,20,0,0,35,0,0,0,0,12,112,1120,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,17,0,6,0,0,129,4,0,29,0,0,0,0,0,0,0,0,4,0,175,0,0,122,0,0,0,49,0,38,0,35,0,0,4,0,215,0,0,8,26,0,0,0,12,0,0,0,0,20,0,0,0,1,0,0,14,0,0,0,0,0,1,0,107,338,0,0,42,0,44,0,1,0,5,138,28,0,0,0,0,0,0,0,0
119000001,"FIN_013_MZB_LO_10","119000001_NA.09.2010",2010,"9",NA,1,0,0,0,1,0,0,0,0,0,1,182,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,81,0,0,2,0,0,0,0,0,0,0,0,1,0,96,0,0,130,0,0,0,13,0,28,0,10,0,0,7,0,63,0,0,0,23,0,0,0,11,4,0,0,0,38,0,0,0,0,0,0,41,0,0,0,3,0,4,0,33,26,0,0,17,0,8,0,1,0,3,123,0,0,0,0,0,0,0,0,0
119000001,"FIN_013_MZB_LO_10","119000001_NA.09.2011",2011,"9",NA,0,2,0,33,3,0,0,0,0,76,118,349,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,141,2,0,13,0,0,0,0,0,0,0,0,121,0,20,0,0,51,0,0,0,2,0,1,0,0,3,0,39,0,39,0,0,7,24,1,0,0,11,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,0,7,0,50,0,22,0,6,64,12,0,0,0,0,0,0,0,0
119000001,"FIN_013_MZB_LO_10","119000001_NA.09.2012",2012,"9",NA,0,1,0,19,5,0,0,0,0,14,143,1007,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,4,0,0,122,3,1,67,0,0,0,0,0,0,1,0,50,0,67,0,0,104,11,0,0,44,0,13,0,9,0,0,4,0,270,0,0,15,26,3,0,0,3,0,0,0,0,73,0,0,0,0,0,0,78,0,0,0,0,0,1,0,36,202,0,0,35,0,13,0,5,0,9,290,25,0,0,0,0,0,0,5,0
119000001,"FIN_013_MZB_LO_10","119000001_NA.09.2013",2013,"9",NA,0,0,0,2,1,0,0,0,0,8,221,476,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,19,1,1,240,1,0,44,0,0,0,0,0,0,0,0,68,0,122,0,0,114,0,0,0,47,0,46,0,21,1,0,26,2,194,0,0,13,15,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,23,0,0,14,0,27,0,1,0,4,34,29,0,0,0,1,0,0,0,0
119000001,"FIN_013_MZB_LO_10","119000001_NA.09.2014",2014,"9",NA,0,0,0,0,0,0,0,0,0,9,18,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,25,0,0,1,0,0,0,0,0,0,0,0,10,0,57,0,0,15,0,0,0,6,0,18,0,3,0,0,1,0,23,0,0,1,9,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,7,0,4,0,0,0,0,29,4,0,0,0,0,0,0,0,0
