"site_id","sgn_id","sample_id","year","month","day","AGAPETUS FUSCIPES","AMPHINEMURA SP.","ANCYLUS FLUVIATILIS","ANTHOMYIIDAE GEN. SP.","ANTOCHA SP.","APATANIA SP.","ATHERIX SP.","ATRICHOPS CRASSIPES","BAETIS SP.","BEZZIA SP.","BLEPHARICERA SP.","BRACHYCENTRUS MONTANUS","BYTHINELLA SP.","BYTHIOSPEUM SP.","CAENIS MACRURA","CAPNIA SP.","CAPNIONEURA SP.","CHAOBORIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLA BREVIATA","CLINOCERINAE GEN. SP.","CORDULEGASTER BIDENTATA","CORDULEGASTER BOLTONII","CRUNOECIA IRRORATA SSP.","CULEX SP.","CURCULIONIDAE GEN. SP. AD.","CYPHON SP. LV.","DASYHELEA SP.","DERONECTES SP. AD.","DICRANOTA SP.","DINOCRAS CEPHALOTES","DIXA SP.","DOLICHOPODIDAE GEN. SP.","DUPOPHILUS BREVIS AD.","ECDYONURUS SP.","ECHINOGAMMARUS SP.","ELMIS SP. AD.","ELODES SP. LV.","EPEORUS SP.","EPHEMERA DANICA","ERNODES ARTICULARIS","ERPOBDELLA SP.","ESOLUS SP. AD.","FORCIPOMYIA SP.","GLOSSIPHONIA PALUDOSA","GLOSSOSOMA PRIVATUM","GYRAULUS SP.","HABROLEPTOIDES SP.","HABROPHLEBIA SP.","HALIPLUS SP. AD.","HELOPHORUS SP. AD.","HEMERODROMIINAE GEN. SP.","HEXATOMA SP.","HIRUDO MEDICINALIS","HYDRA SP.","HYDRACHNIDIA GEN. SP.","HYDRAENA SP. AD.","HYDROCHUS SP. LV.","HYDROCYPHON SP. AD.","HYDROMETRA STAGNORUM","HYDROPSYCHE SP.","HYDROPTILA SP.","ILYBIUS SP. AD.","ISOPERLA SP.","LACCOBIUS SP. LV.","LEPIDOSTOMA BASALE","LEPIDOSTOMA HIRTUM","LEUCTRA SP.","LIMNEBIUS SP. AD.","LIMNEPHILIDAE GEN. SP.","LIMNIUS SP. AD.","LIPONEURA SP.","LYMNAEA SP.","MARTHAMEA SP.","MESOVELIA VITTIGERA","MICRASEMA CENERENTOLA","MICRASEMA LONGULUM","MICRASEMA MINIMUM","MICRASEMA MOESTUM","MICRASEMA SERVATUM","MICROVELIA SP.","NEBRIOPORUS SP. AD.","NEMATODA GEN. SP.","NEMOURA SP.","NIPHARGUS SP.","NOTONECTA SP.","ODONTOCERUM ALBICORNE","OLIGOCHAETA GEN. SP.","OREODYTES SP. AD.","OULIMNIUS SP. AD.","PARALEPTOPHLEBIA SP.","PERLA SP.","PERLODES SP.","PHILOPOTAMUS MONTANUS SSP.","PISIDIUM SP.","PLACOBDELLA COSTATA","PLANIPENNIA GEN. SP.","PLANORBARIUS SP.","PLATAMBUS SP. AD.","PLEA MINUTISSIMA MINUTISSIMA","PLECTROCNEMIA CONSPERSA SSP.","PLECTROCNEMIA LAETABILIS","POLYCELIS SP.","POLYCENTROPUS CORNIGER","POLYCENTROPUS FLAVOMACULATUS SSP.","POMATINUS SUBSTRIATUS AD.","PROASELLUS SP.","PROTONEMURA SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIA CTENOPHORA","PSYCHOMYIA PUSILLA","RADIX SP.","RHAGIONIDAE GEN. SP.","RHITHROGENA SP.","RHYACOPHILA SP.","RIOLUS SP. AD.","SCARODYTES SP. AD.","SCATOPHAGIDAE GEN. SP.","SCIRTES SP. LV.","SCLEROPROCTA SP.","SERICOSTOMA SP.","SERRATELLA IGNITA","SILO NIGRICORNIS","SIMULIUM SP.","SIPHONOPERLA SP.","STRATIOMYIDAE GEN. SP.","SYNAGAPETUS SP.","TABANIDAE GEN. SP.","THAUMALEA SP.","THREMMA SP.","TINODES ASSIMILIS","TIPULIDAE GEN. SP.","VALVATA SP.","VELIA SP.","WORMALDIA LUSITANICA","XANTHOPERLA APICALIS"
103000711,"ESP_036_MZB_LO_1","103000711_13.08.2012",2012,"8",13,0,0,117,0,9,0,1,2,208,0,0,0,0,0,0,0,0,0,1803,0,1,0,0,0,0,0,0,0,29,1,0,1,2,0,63,0,10,0,0,0,0,0,53,56,0,0,0,4,0,0,0,12,11,0,0,192,9,0,0,0,0,0,0,0,0,0,0,754,0,29,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,273,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,20,0,0,0,0,0,9,401,0,93,0,0,0,0,7,0,0,1,0,0,0,0
103000711,"ESP_036_MZB_LO_1","103000711_23.09.2013",2013,"9",23,0,0,8,1,0,0,11,0,108,0,0,0,0,0,4,0,0,0,2872,0,0,0,0,0,0,0,0,0,12,3,0,0,1,1,27,0,14,0,26,0,0,0,37,0,0,1,0,9,0,0,0,6,6,0,0,190,2,0,0,0,6,0,0,0,0,0,0,667,0,89,12,0,0,0,0,0,3,0,0,0,0,0,1,24,0,0,279,3519,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,10,9,0,0,0,0,0,12,8,0,6,0,0,0,1,0,0,0,3,0,0,0,0
103000711,"ESP_036_MZB_LO_1","103000711_25.09.2014",2014,"9",25,0,0,6,0,0,0,3,0,253,1,0,0,0,0,0,0,9,0,936,0,0,0,0,0,0,1,0,0,8,1,0,0,4,0,22,0,35,0,83,0,0,0,23,0,0,4,0,3,0,0,0,0,10,0,0,92,3,0,0,0,5,0,0,0,0,0,0,478,0,13,7,0,0,3,0,0,8,0,0,0,0,0,1,35,0,0,29,102,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6,0,0,0,0,0,9,2,0,1,5,0,0,0,4,0,0,0,0,0,0,0
103000711,"ESP_036_MZB_LO_1","103000711_11.08.2015",2015,"8",11,0,0,5,0,1,0,5,0,69,0,0,0,0,0,0,0,0,0,337,0,2,0,0,0,0,0,0,0,1,2,0,2,2,0,14,0,10,0,26,0,0,0,52,4,0,2,0,1,0,0,0,6,8,0,0,170,1,0,0,0,0,0,0,1,0,0,0,124,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,75,30,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,12,0,0,0,0,0,0,1,42,0,16,3,0,0,0,0,0,0,0,0,0,0,0
103000711,"ESP_036_MZB_LO_1","103000711_04.08.2016",2016,"8",4,0,0,21,0,0,0,4,0,234,0,0,0,0,0,1,0,0,0,390,0,0,0,0,0,0,0,0,0,16,2,0,10,0,0,23,0,16,0,25,0,0,0,52,0,1,4,0,18,0,0,0,3,4,0,0,56,12,0,0,0,11,0,0,0,0,0,0,290,0,18,7,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0,10,31,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0,0,0,0,2,13,0,0,0,0,0,19,206,2,13,10,0,0,0,5,0,0,3,0,0,0,0
103000711,"ESP_036_MZB_LO_1","103000711_18.08.2017",2017,"8",18,0,0,2,0,0,0,25,0,90,2,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,11,0,1,0,0,0,0,1,23,0,0,1,0,5,5,0,0,0,1,0,0,119,10,0,0,0,3,0,0,0,0,0,0,187,0,7,2,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103000711,"ESP_036_MZB_LO_1","103000711_28.08.2018",2018,"8",28,0,0,1,0,0,0,4,0,142,0,0,0,2,0,16,0,0,0,2129,0,0,0,0,0,0,0,0,0,26,4,2,0,0,2,11,0,8,0,8,0,0,0,107,2,0,1,0,0,0,0,0,4,2,0,0,64,11,0,0,0,3,0,0,0,0,0,16,472,0,9,13,0,0,0,0,5,0,0,0,0,0,0,0,20,0,0,0,123,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,14,0,0,0,0,0,18,98,2,36,0,0,0,0,0,0,0,0,0,0,0,0
103000711,"ESP_036_MZB_LO_1","103000711_20.08.2019",2019,"8",20,0,0,0,0,1,0,2,0,116,1,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,5,0,11,2,12,0,0,0,30,2,0,0,0,2,0,0,0,4,3,0,0,51,3,0,0,0,3,0,0,2,0,0,0,358,0,12,4,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,2,82,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,45,5,0,0,0,0,0,5,35,2,4,0,0,0,0,0,0,0,0,0,0,0,0
103000712,"ESP_036_MZB_LO_2","103000712_13.08.2012",2012,"8",13,0,0,85,0,1,0,3,0,425,0,0,0,0,0,7,0,0,0,1145,0,0,0,0,0,0,1,0,0,7,5,2,40,1,0,226,0,49,0,0,0,0,4,75,3,0,24,0,2,0,0,0,37,20,0,0,116,40,0,0,0,36,0,0,0,0,0,0,321,0,87,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,36,10,0,0,1,66,0,0,1,0,0,0,0,0,0,0,34,0,1,0,0,162,17,0,0,0,0,0,27,0,0,0,0,0,60,137,0,34,18,0,0,0,9,0,0,3,0,0,0,0
103000712,"ESP_036_MZB_LO_2","103000712_25.09.2013",2013,"9",25,0,20,25,0,0,0,5,0,215,0,0,0,2,0,0,0,0,0,567,2,11,0,0,0,0,0,0,0,3,11,0,36,0,0,58,0,28,2,96,0,0,1,11,0,0,5,0,11,0,0,0,12,17,0,0,75,48,0,0,0,89,0,0,15,2,0,0,222,0,68,14,0,0,3,0,4,40,0,0,0,0,0,9,136,0,0,11,29,0,0,0,30,0,1,0,0,0,0,0,0,0,0,13,0,1,0,0,63,23,0,0,0,0,41,25,0,0,0,0,0,32,23,0,13,25,0,0,0,17,0,0,1,0,0,0,0
