"site_id","sgn_id","sample_id","year","month","day","ACROLOXUS SP.","ANODONTA SP.","ARGULIDAE GEN. SP.","ASELLIDAE GEN. SP.","BITHYNIA SP.","CAENIS SP.","CAMBARIDAE GEN. SP.","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CLOEON SP.","DENDROCOELUM SP.","DRYOPIDAE GEN. SP. AD.","DUGESIA SP.","DYTISCIDAE GEN. SP. AD.","ECNOMUS SP.","EPHYDRIDAE GEN. SP.","ERPOBDELLA SP.","ERYTHROMMA SP.","GERRIS SP.","GLOSSIPHONIA SP.","HAEMOPIS SP.","HALIPLIDAE GEN. SP. AD.","HELOBDELLA SP.","HEMICLEPSIS SP.","HYDRACHNIDIA GEN. SP.","HYDROPHILIDAE GEN. SP. AD.","HYDROPTILIDAE GEN. SP.","ISCHNURA SP.","LEPIDOSTOMATIDAE GEN. SP.","LEPTOCERIDAE GEN. SP.","LIBELLULA SP.","LYMNAEA SP.","MICRONECTA SP.","MYSIDAE GEN. SP.","NAUCORIS SP.","OLIGOCHAETA GEN. SP.","ORTHETRUM SP.","PHRYGANEIDAE GEN. SP.","PHYSA SP.","PHYSELLA SP.","PISCICOLA SP.","PISIDIUM SP.","PLACOBDELLA SP.","PLANORBIDAE GEN. SP.","PLEA SP.","POLYCENTROPODIDAE GEN. SP.","POTAMOPYRGUS SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIIDAE GEN. SP.","RANATRA SP.","SIALIS SP.","SIGARA SP.","SPHAERIUM SP.","STRATIOMYIDAE GEN. SP.","TALITRIDAE GEN. SP.","THEODOXUS SP.","THEROMYZON SP.","TROCHETA SP.","VALVATA SP."
121000174,"BEL_005_MZB_LE_4","121000174_23.08.1994",1994,"8",23,0,1,0,11,101,0,0,0,103,11,0,0,11,11,0,0,2,0,0,2,0,1,2,1,0,0,0,11,1,11,0,11,0,0,0,2,2,11,101,0,0,0,0,59,0,0,1,0,0,0,2,1001,0,0,0,11,2,0,101
121000174,"BEL_005_MZB_LE_4","121000174_19.09.1995",1995,"9",19,0,0,0,2,101,0,0,0,2,0,0,0,11,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,101,0,1,2,0,0,0,2,2,0,0,101,0,0,0,2,2,0,0,0,2,1,0,101
121000174,"BEL_005_MZB_LE_4","121000174_21.08.1996",1996,"8",21,0,0,0,2,51,0,0,0,11,0,0,0,51,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,101,0,2,2,0,0,0,2,4,0,0,101,0,0,0,0,1,0,0,0,2,0,0,11
121000174,"BEL_005_MZB_LE_4","121000174_09.09.1997",1997,"9",9,0,0,0,2,2,0,0,0,11,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11,0,0,0
121000174,"BEL_005_MZB_LE_4","121000174_10.08.2001",2001,"8",10,2,0,2,11,51,2,0,1,62,11,2,0,11,11,0,0,2,0,0,11,0,0,11,0,11,0,11,0,0,11,0,2,101,0,0,13,0,0,2,0,0,1,0,4,0,0,2,0,0,0,1,11,0,0,0,11,2,0,11
121000174,"BEL_005_MZB_LE_4","121000174_26.07.2002",2002,"7",26,0,0,1,11,11,2,0,0,11,0,0,0,0,2,1,0,2,0,0,2,0,0,2,0,2,2,2,2,0,2,0,2,101,0,0,13,0,0,2,0,0,2,0,5,0,0,0,0,0,0,0,2,0,1,0,2,0,0,2
121000174,"BEL_005_MZB_LE_4","121000174_07.08.2003",2003,"8",7,1,0,1,2,2,2,0,1,13,0,0,0,11,0,2,1,2,0,0,1,2,0,11,0,0,0,11,0,0,1,0,0,11,0,0,2,0,0,11,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,2,0,0,1
121000174,"BEL_005_MZB_LE_4","121000174_07.07.2004",2004,"7",7,3,0,1,4,11,3,0,3,62,2,0,0,4,11,3,0,4,0,0,0,0,0,11,0,11,3,3,1,0,0,0,11,51,0,0,22,0,0,11,0,5,0,5,3,1,0,0,0,3,0,1,2,0,0,0,0,0,0,11
121000174,"BEL_005_MZB_LE_4","121000174_02.08.2005",2005,"8",2,12,0,0,40,35,2,0,0,25,1,5,0,10,1,0,0,20,0,0,2,0,0,20,0,0,0,0,7,0,7,0,7,300,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,20,0,0,0,0,0,0,7
121000174,"BEL_005_MZB_LE_4","121000174_15.07.2009",2009,"7",15,3,0,1,100,300,7,3,3,100,3,2,1,30,6,9,0,25,0,0,25,2,0,25,0,30,2,2,10,0,30,0,20,150,50,3,23,0,2,0,3,4,40,0,15,0,1,10,4,8,0,2,100,1,0,1,25,2,1,30
121000174,"BEL_005_MZB_LE_4","121000174_26.09.2011",2011,"9",26,6,0,4,25,30,6,0,0,60,0,0,0,50,0,4,0,4,0,1,1,0,0,30,0,9,0,5,20,0,0,0,0,20,0,1,8,0,0,0,15,1,0,0,5,0,0,7,2,0,1,0,1,0,0,0,15,0,0,6
121000174,"BEL_005_MZB_LE_4","121000174_26.09.2013",2013,"9",26,7,0,0,13,13,2,0,0,80,3,0,2,17,0,13,0,7,1,8,1,1,0,1,0,11,1,0,35,0,0,0,9,13,35,4,6,0,0,0,30,1,1,0,4,0,0,2,4,0,2,1,1,0,0,2,16,1,0,4
