Site.ID,Sample.ID,Sampling.date,Taxon.name,Abundance,Provider.Number,Country,Dataset.ID,Unique.ID,sample_id,year,month,day
1,1_592012,5.9.2012,Aeshnidae,2,48,Greece,GRC_048_MZB_LO,GRC_048_MZB_LO_1,GRC_048_MZB_LO_1_05.09.2012,2012,9,5
1,1_592012,5.9.2012,Ancylidae,14,48,Greece,GRC_048_MZB_LO,GRC_048_MZB_LO_1,GRC_048_MZB_LO_1_05.09.2012,2012,9,5
1,1_592012,5.9.2012,Araneae,1,48,Greece,GRC_048_MZB_LO,GRC_048_MZB_LO_1,GRC_048_MZB_LO_1_05.09.2012,2012,9,5
1,1_592012,5.9.2012,Asellidae,5,48,Greece,GRC_048_MZB_LO,GRC_048_MZB_LO_1,GRC_048_MZB_LO_1_05.09.2012,2012,9,5
1,1_592012,5.9.2012,Baetidae,407,48,Greece,GRC_048_MZB_LO,GRC_048_MZB_LO_1,GRC_048_MZB_LO_1_05.09.2012,2012,9,5
1,1_592012,5.9.2012,Caenidae,953,48,Greece,GRC_048_MZB_LO,GRC_048_MZB_LO_1,GRC_048_MZB_LO_1_05.09.2012,2012,9,5
1,1_592012,5.9.2012,Chironomidae,113,48,Greece,GRC_048_MZB_LO,GRC_048_MZB_LO_1,GRC_048_MZB_LO_1_05.09.2012,2012,9,5
1,1_592012,5.9.2012,Coenagrionidae,1,48,Greece,GRC_048_MZB_LO,GRC_048_MZB_LO_1,GRC_048_MZB_LO_1_05.09.2012,2012,9,5
1,1_592012,5.9.2012,Dytiscidae,54,48,Greece,GRC_048_MZB_LO,GRC_048_MZB_LO_1,GRC_048_MZB_LO_1_05.09.2012,2012,9,5
1,1_592012,5.9.2012,Gammaridae,124,48,Greece,GRC_048_MZB_LO,GRC_048_MZB_LO_1,GRC_048_MZB_LO_1_05.09.2012,2012,9,5
1,1_592012,5.9.2012,Gerridae,1,48,Greece,GRC_048_MZB_LO,GRC_048_MZB_LO_1,GRC_048_MZB_LO_1_05.09.2012,2012,9,5
1,1_592012,5.9.2012,Glossiphoniidae,1,48,Greece,GRC_048_MZB_LO,GRC_048_MZB_LO_1,GRC_048_MZB_LO_1_05.09.2012,2012,9,5
1,1_592012,5.9.2012,Haliplidae,2,48,Greece,GRC_048_MZB_LO,GRC_048_MZB_LO_1,GRC_048_MZB_LO_1_05.09.2012,2012,9,5
1,1_592012,5.9.2012,Heptageniidae,39,48,Greece,GRC_048_MZB_LO,GRC_048_MZB_LO_1,GRC_048_MZB_LO_1_05.09.2012,2012,9,5
1,1_592012,5.9.2012,Hydraenidae,2,48,Greece,GRC_048_MZB_LO,GRC_048_MZB_LO_1,GRC_048_MZB_LO_1_05.09.2012,2012,9,5
1,1_592012,5.9.2012,Hydrophilidae,4,48,Greece,GRC_048_MZB_LO,GRC_048_MZB_LO_1,GRC_048_MZB_LO_1_05.09.2012,2012,9,5
1,1_592012,5.9.2012,Hydroptilidae,13,48,Greece,GRC_048_MZB_LO,GRC_048_MZB_LO_1,GRC_048_MZB_LO_1_05.09.2012,2012,9,5
