"Unique.ID","Samp.ID","Sampling.date","year","month","day","AESHNIDAE GEN. SP.","ANTHOMYIIDAE GEN. SP.","APHELOCHEIRIDAE GEN. SP.","ASELLIDAE GEN. SP.","ATHERICIDAE GEN. SP.","BAETIDAE GEN. SP.","BERAEIDAE GEN. SP.","BITHYNIIDAE GEN. SP.","BLEPHARICERIDAE GEN. SP.","BRACHYCENTRIDAE GEN. SP.","CAENIDAE GEN. SP.","CALOPTERYGIDAE GEN. SP.","CAPNIIDAE GEN. SP.","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","COENAGRIONIDAE GEN. SP.","CORBICULIDAE GEN. SP.","CORDULEGASTRIDAE GEN. SP.","CORDULIIDAE GEN. SP.","CORIXIDAE GEN. SP.","DIXIDAE GEN. SP.","DRYOPIDAE GEN. SP.","DUGESIIDAE GEN. SP.","DYTISCIDAE GEN. SP.","ELMIDAE GEN. SP.","EMPIDIDAE GEN. SP.","EPHEMERELLIDAE GEN. SP.","EPHEMERIDAE GEN. SP.","ERPOBDELLIDAE GEN. SP.","GAMMARIDAE GEN. SP.","GLOSSOSOMATIDAE GEN. SP.","GOERIDAE GEN. SP.","GOMPHIDAE GEN. SP.","GYRINIDAE GEN. SP.","HALIPLIDAE GEN. SP.","HEPTAGENIIDAE GEN. SP.","HYDRACHNIDIA GEN. SP.","HYDRAENIDAE GEN. SP.","HYDROBIIDAE GEN. SP.","HYDROPSYCHIDAE GEN. SP.","HYDROPTILIDAE GEN. SP.","LEPIDOSTOMATIDAE GEN. SP.","LEPTOCERIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LESTIDAE GEN. SP.","LEUCTRIDAE GEN. SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","LYMNAEIDAE GEN. SP.","MERMITHIDAE GEN. SP.","MUSCIDAE GEN. SP.","NEMOURIDAE GEN. SP.","NERITIDAE GEN. SP.","ODONTOCERIDAE GEN. SP.","OLIGOCHAETA GEN. SP.","PEDICIIDAE GEN. SP.","PERLIDAE GEN. SP.","PERLODIDAE GEN. SP.","PHILOPOTAMIDAE GEN. SP.","PHYSIDAE GEN. SP.","PLANARIIDAE GEN. SP.","PLANORBIDAE GEN. SP.","PLATYCNEMIDIDAE GEN. SP.","POLYCENTROPODIDAE GEN. SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIIDAE GEN. SP.","RHAGIONIDAE GEN. SP.","RHYACOPHILIDAE GEN. SP.","SCIRTIDAE GEN. SP.","SERICOSTOMATIDAE GEN. SP.","SIALIDAE GEN. SP.","SIMULIIDAE GEN. SP.","SIPHLONURIDAE GEN. SP.","SPHAERIIDAE GEN. SP.","STRATIOMYIDAE GEN. SP.","TABANIDAE GEN. SP.","TAENIOPTERYGIDAE GEN. SP.","THAUMALEIDAE GEN. SP.","TIPULIDAE GEN. SP.","UNIONIDAE GEN. SP.","VALVATIDAE GEN. SP."
"ITA_002_MZB_LO_10","ITA_002_MZB_LO_10-23.06.2009","23.06.2009",2009,6,23,0,0,0,0,0,118,0,0,0,0,15,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,25,0,66,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,80,0,0,0,1,0,0,0,0,0
"ITA_002_MZB_LO_10","ITA_002_MZB_LO_10-03.04.2012","03.04.2012",2012,4,3,0,0,0,0,3,259,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,45,0,0,4,0,0,0,0,0,48,0,2,0,0,0,0,0,0,47,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,4,0,0,0,1,0,0,1,0,0
"ITA_002_MZB_LO_10","ITA_002_MZB_LO_10-03.05.2013","03.05.2013",2013,5,3,0,0,0,0,0,118,3,0,1,0,0,0,0,1,61,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,3,0,0,0,26,48,0,0,3,0,0,0,37,0,18,0,0,0,0,0,0,0,0,31,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,108,0,0,0,0,0,0,0,0,0
"ITA_002_MZB_LO_10","ITA_002_MZB_LO_10-22.06.2015","22.06.2015",2015,6,22,0,0,0,0,1,280,0,0,0,0,13,0,0,0,48,0,0,0,0,0,0,0,0,0,2,0,31,0,1,0,0,0,0,0,0,0,74,0,0,0,0,0,0,4,0,64,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,28,0,0,0,1,0,0,0,0,0
"ITA_002_MZB_LO_10","ITA_002_MZB_LO_10-03.04.2018","03.04.2018",2018,4,3,0,0,0,0,1,479,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,33,0,0,26,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,22,0,0,0,3,0,0,0,0,0
"ITA_002_MZB_LO_13","ITA_002_MZB_LO_13-26.03.2009","26.03.2009",2009,3,26,0,0,0,0,0,672,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,2,0,0,2,346,0,0,0,0,0,38,0,0,0,11,0,0,0,0,0,27,0,1,0,1,0,5,0,0,1076,0,0,0,0,0,0,2,0,0,0,0,0,32,0,3,0,116,0,0,0,0,0,0,1,0,1
"ITA_002_MZB_LO_13","ITA_002_MZB_LO_13-30.03.2012","30.03.2012",2012,3,30,0,0,0,0,2,80,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,16,0,0,70,0,0,0,0,0,52,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,1,0,0,217,0,0,0,0,0,0,9,0,0,0,0,0,29,0,1,0,22,0,0,0,0,0,0,2,0,0
"ITA_002_MZB_LO_13","ITA_002_MZB_LO_13-04.04.2013","04.04.2013",2013,4,4,0,0,0,0,3,117,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,3,0,1,300,0,0,0,0,0,13,0,0,0,11,0,0,0,0,0,7,6,0,0,0,0,0,0,0,224,0,0,0,0,0,0,10,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"ITA_002_MZB_LO_13","ITA_002_MZB_LO_13-13.04.2015","13.04.2015",2015,4,13,0,0,0,0,0,160,0,0,4,3,0,0,0,0,84,0,0,0,0,0,0,0,0,0,2,1,1,0,0,161,0,1,0,0,0,11,24,0,0,5,0,0,0,0,0,6,0,4,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,43,0,0,0,0,0,0,0,0,0
"ITA_002_MZB_LO_13","ITA_002_MZB_LO_13-27.03.2018","27.03.2018",2018,3,27,0,0,0,0,51,776,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,2,0,0,0,1,60,0,0,0,0,0,4,20,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0
