"Unique.ID","Samp.ID","Sampling.date","year","month","day","AESHNIDAE GEN. SP.","AGRIOTYPINAE GEN. SP.","ANTHOMYIIDAE GEN. SP.","APHELOCHEIRIDAE GEN. SP.","ASELLIDAE GEN. SP.","ASTACIDAE GEN. SP.","ATHERICIDAE GEN. SP.","ATYIDAE GEN. SP.","BAETIDAE GEN. SP.","BERAEIDAE GEN. SP.","BITHYNIIDAE GEN. SP.","BLEPHARICERIDAE GEN. SP.","BRACHYCENTRIDAE GEN. SP.","BRANCHIOBDELLIDAE GEN. SP.","BRYOZOA GEN. SP.","CAENIDAE GEN. SP.","CALLINECTES SAPIDUS","CALOPTERYGIDAE GEN. SP.","CAMBARIDAE GEN. SP.","CAPNIIDAE GEN. SP.","CERATOPOGONIDAE GEN. SP.","CHAOBORIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLIDAE GEN. SP.","COENAGRIONIDAE GEN. SP.","CORBICULA SP.","CORDULEGASTRIDAE GEN. SP.","CORDULIIDAE GEN. SP.","CORIXIDAE GEN. SP.","CULICIDAE GEN. SP.","CURCULIONIDAE GEN. SP.","DIXIDAE GEN. SP.","DOLICHOPODIDAE GEN. SP.","DREISSENA POLYMORPHA","DRYOPIDAE GEN. SP.","DUGESIIDAE GEN. SP.","DYTISCIDAE GEN. SP.","ECNOMUS SP.","ELMIDAE GEN. SP.","EMPIDIDAE GEN. SP.","EPHEMERELLIDAE GEN. SP.","EPHEMERIDAE GEN. SP.","EPHYDRIDAE GEN. SP.","ERPOBDELLIDAE GEN. SP.","GAMMARIDAE GEN. SP.","GASTROPODA GEN. SP.","GERRIDAE GEN. SP.","GLOSSIPHONIIDAE GEN. SP.","GLOSSOSOMATIDAE GEN. SP.","GOERIDAE GEN. SP.","GOMPHIDAE GEN. SP.","GORDIUS SP.","GYRINIDAE GEN. SP.","HALIPLIDAE GEN. SP.","HELOPHORUS SP.","HEPTAGENIIDAE GEN. SP.","HIRUDINEA GEN. SP.","HYDRA SP.","HYDRACHNIDIA GEN. SP.","HYDRAENIDAE GEN. SP.","HYDROBIIDAE GEN. SP.","HYDROCHUS SP.","HYDROMETRIDAE GEN. SP.","HYDROPHILIDAE GEN. SP.","HYDROPSYCHIDAE GEN. SP.","HYDROPTILIDAE GEN. SP.","LEPIDOSTOMATIDAE GEN. SP.","LEPTOCERIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LESTIDAE GEN. SP.","LEUCTRIDAE GEN. SP.","LIBELLULIDAE GEN. SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","LYMNAEIDAE GEN. SP.","MESOVELIIDAE GEN. SP.","MOLANNIDAE GEN. SP.","MUSCIDAE GEN. SP.","NAUCORIDAE GEN. SP.","NEMATODA GEN. SP.","NEMATOMORPHA GEN. SP.","NEMOURIDAE GEN. SP.","NEPIDAE GEN. SP.","NERITIDAE GEN. SP.","NOTERIDAE GEN. SP.","NOTONECTIDAE GEN. SP.","ODONTOCERIDAE GEN. SP.","OLIGOCHAETA GEN. SP.","OLIGONEURIIDAE GEN. SP.","OSMYLIDAE GEN. SP.","PALAEMONIDAE GEN. SP.","PEDICIIDAE GEN. SP.","PERLIDAE GEN. SP.","PERLODIDAE GEN. SP.","PHILOPOTAMIDAE GEN. SP.","PHYSIDAE GEN. SP.","PISCICOLIDAE GEN. SP.","PLANARIIDAE GEN. SP.","PLANORBIDAE GEN. SP.","PLATYCNEMIDIDAE GEN. SP.","PLEIDAE GEN. SP.","POLYCENTROPODIDAE GEN. SP.","POLYMITARCYIDAE GEN. SP.","POTAMANTHIDAE GEN. SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIIDAE GEN. SP.","PTYCHOPTERIDAE GEN. SP.","RHAGIONIDAE GEN. SP.","RHYACOPHILIDAE GEN. SP.","SCATOPHAGIDAE GEN. SP.","SCIOMYZIDAE GEN. SP.","SCIRTIDAE GEN. SP.","SERICOSTOMATIDAE GEN. SP.","SIALIDAE GEN. SP.","SIMULIIDAE GEN. SP.","SIPHLONURIDAE GEN. SP.","SISYRIDAE GEN. SP.","SPHAERIIDAE GEN. SP.","SPONGILLIDAE GEN. SP.","STRATIOMYIDAE GEN. SP.","SUCCINEIDAE GEN. SP.","SYRPHIDAE GEN. SP.","TABANIDAE GEN. SP.","TAENIOPTERYGIDAE GEN. SP.","THAUMALEIDAE GEN. SP.","THIARIDAE GEN. SP.","THREMMATIDAE GEN. SP.","TIPULIDAE GEN. SP.","UNIONIDAE GEN. SP.","VALVATIDAE GEN. SP.","VELIIDAE GEN. SP."
"ESP_058_MZB_LO_1","ESP_058_MZB_LO_1-20.08.2008","20.08.2008",2008,8,20,0,0,0,0,1,0,0,0,908,0,0,0,0,0,0,1105,0,1,1,0,0,0,2182,0,2,0,0,0,884,0,0,0,0,1655,0,0,0,0,0,3,0,0,0,0,1,0,10,1,0,0,0,0,0,0,0,1,0,0,524,0,1,0,0,0,744,1,0,1,1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,1,0,22,0,0,0,0,0,0,0,384,0,0,47,2,0,43,15,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP_058_MZB_LO_1","ESP_058_MZB_LO_1-29.07.2009","29.07.2009",2009,7,29,1,0,1,0,0,0,0,1,42,0,0,0,0,0,0,6254,0,0,1,0,0,0,2014,0,8,0,0,0,204,0,0,0,0,987,0,0,3,1,121,1,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,2,0,0,485,0,1,0,0,0,971,2,0,4,206,0,1,0,0,0,1,0,0,0,0,0,0,0,0,449,0,0,0,124,0,0,0,0,0,0,0,123,0,0,208,0,0,4,43,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"ESP_058_MZB_LO_1","ESP_058_MZB_LO_1-28.07.2010","28.07.2010",2010,7,28,0,0,0,0,0,0,0,2,1802,0,0,0,0,0,0,1205,0,0,0,0,0,0,1141,0,0,0,0,0,142,2,0,0,0,382,0,0,0,0,6,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,50,0,0,87,0,10,0,0,0,587,12,0,1,303,0,1,0,0,0,0,0,0,0,0,1,0,0,0,65,0,0,0,88,0,0,0,0,0,0,0,64,0,0,174,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,27,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP_058_MZB_LO_1","ESP_058_MZB_LO_1-28.08.2012","28.08.2012",2012,8,28,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,8,0,0,0,0,0,0,17,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP_058_MZB_LO_1","ESP_058_MZB_LO_1-19.08.2013","19.08.2013",2013,8,19,0,0,0,0,0,0,0,0,8643,0,0,0,0,0,0,8966,0,0,1,0,320,0,3682,0,0,0,0,0,0,0,0,0,0,522,0,0,0,0,1,0,0,0,0,0,324,0,3,0,0,0,0,0,0,0,0,1,0,0,5121,0,881,0,0,0,1043,1442,0,3,1286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,1120,0,0,0,0,0,0,0,3042,0,0,189,0,0,4,483,0,0,0,0,0,0,0,0,0,0,0,2090,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"ESP_058_MZB_LO_1","ESP_058_MZB_LO_1-04.08.2014","04.08.2014",2014,8,4,0,0,1,0,0,0,0,0,326,0,0,0,0,0,0,11846,0,0,1,0,0,0,1445,0,27,0,0,0,320,0,0,0,0,42,0,0,0,0,1,1,0,0,0,0,80,0,5,0,0,0,0,0,0,0,0,1,0,0,1287,0,322,0,0,0,806,641,0,324,648,0,81,0,0,0,23,0,0,0,0,0,0,0,0,29,0,1,0,14,0,0,0,0,0,0,0,324,0,0,326,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,4335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP_058_MZB_LO_1","ESP_058_MZB_LO_1-10.08.2015","10.08.2015",2015,8,10,1,0,0,0,0,0,0,8,166,0,0,0,0,0,0,3126,0,0,25,0,1,0,3206,0,0,0,0,0,5,0,0,0,0,1769,0,0,0,0,0,1,0,0,0,0,245,0,4,2,0,0,0,0,0,0,0,0,0,0,4723,0,22,0,0,1,805,160,0,22,324,0,1,0,0,0,2,0,0,0,0,0,0,0,1,10,0,0,0,11,0,0,0,0,0,0,0,47,0,0,81,0,0,2,24,1,0,0,0,0,0,0,0,0,0,0,55,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0
"ESP_058_MZB_LO_1","ESP_058_MZB_LO_1-03.08.2017","03.08.2017",2017,8,3,1,0,0,0,0,0,0,2,579,0,0,0,0,0,0,1011,0,0,27,0,0,0,1499,0,51,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,54,26,0,0,0,0,0,0,0,0,0,0,121,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1728,0,0,0,0,0,0,0,532,0,0,241,0,1,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ESP_058_MZB_LO_1","ESP_058_MZB_LO_1-12.07.2018","12.07.2018",2018,7,12,0,0,0,0,0,1,0,0,345,0,0,0,0,0,0,61,0,0,1,0,2,0,830,0,0,0,0,0,0,12,0,0,0,1,0,0,1,0,0,0,0,0,12,0,12,5,2,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,332,0,0,0,0,0,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP_058_MZB_LO_10","ESP_058_MZB_LO_10-15.07.2008","15.07.2008",2008,7,15,0,0,0,0,1,0,0,88,1,0,0,0,0,0,0,174,0,0,0,0,0,0,597,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,690,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,2,1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,5,0,0,57,0,0,0,0,10,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,58,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
