"Unique.ID","Samp.ID","Sampling.date","year","month","day","ADICELLA REDUCTA","AGAPETUS FUSCIPES","AGRIOTYPUS SP.","AMPHINEMURA SP.","ANCYLUS FLUVIATILIS","ANTHOMYIIDAE GEN. SP.","ANTOCHA SP.","APATANIA SP.","ATHERIX SP.","ATRICHOPS CRASSIPES","BAETIS SP.","BEZZIA SP.","BLEPHARICERA SP.","BRACHYCENTRUS MONTANUS","BYTHINELLA SP.","BYTHIOSPEUM SP.","CAENIS LUCTUOSA","CAENIS MACRURA","CAENIS RIVULORUM","CAPNIA SP.","CAPNIONEURA SP.","CHAOBORIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLIDAE GEN. SP.","CLINOCERINAE GEN. SP.","CORDULEGASTER BIDENTATA","CORDULEGASTER BOLTONII","CRUNOECIA IRRORATA SSP.","CULEX SP.","CURCULIONIDAE GEN. SP.","CYPHON SP.","DASYHELEA SP.","DERONECTES SP.","DICRANOTA SP.","DINOCRAS CEPHALOTES","DIXA SP.","DOLICHOPODIDAE GEN. SP.","DUPOPHILUS BREVIS","ECDYONURUS SP.","ECHINOGAMMARUS SP.","ELMIS SP.","ELODES SP.","EPEORUS SP.","EPHEMERA DANICA","ERNODES ARTICULARIS","ERPOBDELLA SP.","ESOLUS SP.","FORCIPOMYIA SP.","GERRIS SP.","GLOSSIPHONIA PALUDOSA","GLOSSOSOMA PRIVATUM","GYRAULUS SP.","HABROLEPTOIDES SP.","HABROPHLEBIA SP.","HALIPLUS SP.","HELOPHORUS SP.","HEMERODROMIINAE GEN. SP.","HEXATOMA SP.","HIRUDO MEDICINALIS","HYDRA SP.","HYDRACHNIDIA GEN. SP.","HYDRAENA SP.","HYDROCHUS SP.","HYDROCYPHON SP.","HYDROMETRA STAGNORUM","HYDROPSYCHE SP.","HYDROPTILA SP.","ILYBIUS SP.","ISOPERLA SP.","LACCOBIUS SP.","LEPIDOSTOMA BASALE","LEPIDOSTOMA HIRTUM","LEUCTRA SP.","LIMNEBIUS SP.","LIMNEPHILIDAE GEN. SP.","LIMNIUS SP.","LIPONEURA SP.","LYMNAEA SP.","MARTHAMEA SP.","MESOVELIA SP.","MICRASEMA CENERENTOLA","MICRASEMA LONGULUM","MICRASEMA MINIMUM","MICRASEMA MOESTUM","MICRASEMA SERVATUM","MICROVELIA SP.","NEBRIOPORUS SP.","NEMATODA GEN. SP.","NEMOURA SP.","NIPHARGUS SP.","NOTONECTA SP.","ODONTOCERUM ALBICORNE","OLIGOCHAETA GEN. SP.","OREODYTES SP.","OULIMNIUS SP.","PARALEPTOPHLEBIA SP.","PERLA SP.","PERLODES SP.","PHILOPOTAMUS MONTANUS SSP.","PISIDIUM SP.","PLACOBDELLA COSTATA","PLANIPENNIA GEN. SP.","PLANORBARIUS SP.","PLATAMBUS SP.","PLEA MINUTISSIMA MINUTISSIMA","PLECTROCNEMIA CONSPERSA SSP.","PLECTROCNEMIA LAETABILIS","POLYCELIS SP.","POLYCENTROPUS CORNIGER","POLYCENTROPUS FLAVOMACULATUS SSP.","POMATINUS SUBSTRIATUS","POTAMOPYRGUS ANTIPODARUM","PROASELLUS SP.","PROCLOEON BIFIDUM","PROTONEMURA SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIA CTENOPHORA","PSYCHOMYIA PUSILLA","RADIX SP.","RHAGIONIDAE GEN. SP.","RHITHROGENA SP.","RHYACOPHILA SP.","RIOLUS SP.","SCARODYTES SP.","SCATOPHAGIDAE GEN. SP.","SCIRTES SP.","SCLEROPROCTA SP.","SERICOSTOMA SP.","SERRATELLA IGNITA","SILO NIGRICORNIS","SIMULIUM SP.","STRATIOMYIDAE GEN. SP.","SYNAGAPETUS SP.","TABANIDAE GEN. SP.","THAUMALEA SP.","THEODOXUS SP.","THREMMA SP.","TINODES ASSIMILIS","TIPULIDAE GEN. SP.","VALVATA SP.","VELIA SP.","WORMALDIA LUSITANICA"
"ESP_036_MZB_LO_1","ESP_036_MZB_LO_1-13.08.2012","13.08.2012",2012,8,13,0,0,0,0,117,0,9,0,1,2,208,0,0,0,0,0,0,0,0,0,0,0,1803,0,1,0,0,0,0,0,0,0,29,1,0,1,2,0,63,0,10,0,0,0,0,0,53,56,0,0,0,0,4,0,0,0,12,11,0,0,192,9,0,0,0,0,0,0,0,0,0,0,754,0,29,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,273,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,20,0,0,0,0,0,9,401,0,93,0,0,0,7,0,0,0,1,0,0,0
"ESP_036_MZB_LO_1","ESP_036_MZB_LO_1-23.09.2013","23.09.2013",2013,9,23,0,0,0,0,8,1,0,0,11,0,108,0,0,0,0,0,0,4,0,0,0,0,2872,0,0,0,0,0,0,0,0,0,12,3,0,0,1,1,27,0,14,0,26,0,0,0,37,0,0,0,1,0,9,0,0,0,6,6,0,0,190,2,0,0,0,6,0,0,0,0,0,0,667,0,89,12,0,0,0,0,0,3,0,0,0,0,0,1,24,0,0,279,3519,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,10,9,0,0,0,0,0,12,8,0,6,0,0,1,0,0,0,0,3,0,0,0
"ESP_036_MZB_LO_1","ESP_036_MZB_LO_1-25.09.2014","25.09.2014",2014,9,25,0,0,0,0,6,0,0,0,3,0,253,1,0,0,0,0,0,0,0,0,9,0,936,5,0,0,0,0,0,1,0,0,8,1,0,0,4,0,22,0,35,0,83,0,0,0,23,0,0,0,4,0,3,0,0,0,0,10,0,0,92,3,0,0,0,5,0,0,0,0,0,0,478,0,13,7,0,0,3,0,0,8,0,0,0,0,0,1,35,0,0,29,102,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6,0,0,0,0,0,9,2,0,1,0,0,0,4,0,0,0,0,0,0,0
"ESP_036_MZB_LO_1","ESP_036_MZB_LO_1-11.08.2015","11.08.2015",2015,8,11,0,0,0,0,5,0,1,0,5,0,69,0,0,0,0,0,0,0,0,0,0,0,337,3,2,0,0,0,0,0,0,0,1,2,0,2,2,0,14,0,10,0,26,0,0,0,52,4,0,0,2,0,1,0,0,0,6,8,0,0,170,1,0,0,0,0,0,0,1,0,0,0,124,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,75,30,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,12,0,0,0,0,0,0,1,42,0,16,0,0,0,0,0,0,0,0,0,0,0
"ESP_036_MZB_LO_1","ESP_036_MZB_LO_1-04.08.2016","04.08.2016",2016,8,4,0,0,0,0,21,0,0,0,4,0,234,0,0,0,0,0,0,1,0,0,0,0,390,10,0,0,0,0,0,0,0,0,16,2,0,10,0,0,23,0,16,0,25,0,0,0,52,0,0,1,4,0,18,0,0,0,3,4,0,0,56,12,0,0,0,11,0,0,0,0,0,0,290,0,18,7,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0,10,31,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0,0,0,0,2,13,0,0,0,0,0,19,206,2,13,0,0,0,5,0,0,0,3,0,0,0
"ESP_036_MZB_LO_1","ESP_036_MZB_LO_1-18.08.2017","18.08.2017",2017,8,18,0,0,0,0,2,0,0,0,25,0,90,2,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,11,0,1,0,0,0,0,1,23,0,0,0,1,0,5,5,0,0,0,1,0,0,119,10,0,0,0,3,0,0,0,0,0,0,187,0,7,2,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,4,37,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP_036_MZB_LO_1","ESP_036_MZB_LO_1-28.08.2018","28.08.2018",2018,8,28,0,0,0,0,1,0,0,0,4,0,142,0,0,0,2,0,0,16,0,0,0,0,2129,0,0,0,0,0,0,0,0,0,26,4,2,0,0,2,11,0,8,0,8,0,0,0,107,2,0,0,1,0,0,0,0,0,4,2,0,0,64,11,0,0,0,3,0,0,0,0,0,16,472,0,9,13,0,0,0,0,5,0,0,0,0,0,0,0,20,0,0,0,123,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,14,0,0,0,0,0,18,98,2,36,0,0,0,0,0,0,0,0,0,0,0
"ESP_036_MZB_LO_1","ESP_036_MZB_LO_1-20.08.2019","20.08.2019",2019,8,20,0,0,0,0,0,0,1,0,2,0,116,1,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,5,0,11,2,12,0,0,0,30,2,0,0,0,0,2,0,0,0,4,3,0,0,51,3,0,0,0,3,0,0,2,0,0,0,358,0,12,4,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,2,82,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,45,5,0,0,0,0,0,5,35,2,4,0,0,0,0,0,0,0,0,0,0,0
"ESP_036_MZB_LO_1","ESP_036_MZB_LO_1-31.08.2020","31.08.2020",2020,8,31,0,0,0,0,4,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,489,4,0,0,0,0,0,0,0,0,6,0,0,0,3,0,22,0,9,0,0,0,0,0,8,0,0,0,0,0,11,0,0,0,0,4,0,0,5502,12,0,0,0,0,0,0,0,0,0,0,180,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,38,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,0,0,2,1,0,0,0,0,0,10,5,0,6,0,0,0,0,0,0,0,1,0,0,0
"ESP_036_MZB_LO_1","ESP_036_MZB_LO_1-30.08.2021","30.08.2021",2021,8,30,1,0,0,0,23,0,0,0,1,0,426,0,0,0,0,0,0,0,0,0,0,0,2274,1,2,0,0,0,0,0,0,0,1,3,0,32,0,0,2,0,50,0,8,0,0,1,22,0,0,0,18,0,12,0,0,0,1,2,0,0,154,2,0,0,0,16,0,0,0,0,0,0,525,0,16,0,0,0,0,0,0,148,0,0,0,0,0,0,10,0,0,49,409,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,16,0,0,3,32,126,0,0,0,0,0,36,18,32,96,0,0,0,0,0,0,0,0,0,0,0
