"Unique.ID","Samp.ID","Sampling.date","year","month","day","AGAPETUS SP.","ANCYLUS FLUVIATILIS","APATANIA SP.","APHELOCHEIRUS AESTIVALIS","ASELLUS AQUATICUS","ATHERICIDAE GEN. SP.","BAETIS SP.","BRACHYCENTRUS MACULATUS","BRACHYCENTRUS MONTANUS","BRACHYPTERA SETICORNIS","CAENIS SP.","CAPNIA SP.","CERATOPOGONIDAE GEN. SP.","CHEUMATOPSYCHE LEPIDA","CHIRONOMIDAE GEN. SP.","CRENOBIA ALPINA","CYRNUS TRIMACULATUS","DENDROCOELUM LACTEUM","DICRANOTA SP.","DINA LINEATA","DINOCRAS MEGACEPHALA","DIPTERA GEN. SP.","DIXIDAE GEN. SP.","DUGESIA GONOCEPHALA","DUGESIA LUGUBRIS","ECDYONURUS SP.","ELMIS SP.","EPEORUS ASSIMILIS","EPEORUS SYLVICOLA","EPEORUS YOUGOSLAVICUS","EPHEMERA DANICA","EPHEMERA VULGATA","EPHEMERELLA MUCRONATA","ERPOBDELLA OCTOCULATA","GLOSSIPHONIA COMPLANATA","GLOSSOSOMA SP.","GOERIDAE GEN. SP.","GYRINUS SP.","HABROLEPTOIDES CONFUSA","HABROLEPTOIDES MODESTA","HELOBDELLA STAGNALIS","HELOCHARES LIVIDUS","HEPTAGENIA SP.","HYDRA SP.","HYDRACHNIDIA GEN. SP.","HYDROPSYCHE SP.","HYDROPTILA SP.","ILYOCORIS SP.","ISOPERLA SP.","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMNIUS SP.","LIMNOPHORA SP.","LIMONIIDAE GEN. SP.","LYMNAEA SP.","MICRASEMA MINIMUM","NEMATODA GEN. SP.","NEMOURA MARGINATA","OECISMUS MONEDULA SSP.","OLIGOCHAETA GEN. SP.","OPHIOGOMPHUS CECILIA","PARALEPTOPHLEBIA SP.","PEREGRIANA PEREGRA","PERLA SP.","PERLODES SP.","PHALACROCERA SP.","PHILOPOTAMUS MONTANUS SSP.","PLANORBIS PLANORBIS","PLECOPTERA GEN. SP.","POLYCENTROPUS SP.","POTAMANTHUS LUTEUS","PROTONEMURA SP.","PSYCHODA SP.","PSYCHOMYIA PUSILLA","RHITHROGENA SP.","RHYACOPHILA SP.","SERICOSTOMA SP.","SERRATELLA IGNITA","SIALIS LUTARIA","SIMULIIDAE GEN. SP.","STENELMIS SP.","STRATIOMYIDAE GEN. SP.","SYNAGAPETUS SP.","TABANIDAE GEN. SP.","THAUMALEA SP.","TINEARIA ALTERNATA","TINODES SP.","TIPULIDAE GEN. SP.","TONNOIRIELLA SP.","TRICHOPTERA GEN. SP.","WIEDEMANNIA SP."
"BGR_008_MZB_LO_1","BGR_008_MZB_LO_1-01.10.1986","01.10.1986",1986,10,1,10,0,0,0,0,15,10,20,0,0,0,0,0,5,65,10,0,315,0,0,0,0,0,25,0,105,10,0,5,0,0,0,15,0,0,0,0,0,0,210,0,0,0,0,0,310,0,0,10,115,50,0,0,5,0,10,0,5,0,95,0,0,0,30,25,0,5,0,15,0,0,5,0,0,90,145,0,0,0,75,30,0,0,0,0,0,0,0,20,0,20
"BGR_008_MZB_LO_1","BGR_008_MZB_LO_1-01.10.1987","01.10.1987",1987,10,1,1,0,0,0,0,9,20,2,0,0,0,0,0,4,5,2,0,4,0,0,0,0,0,2,0,15,0,0,8,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,50,0,0,18,2,0,0,0,1,0,10,0,23,0,5,0,0,0,1,6,0,4,0,1,0,0,5,0,0,42,30,0,0,0,18,2,0,0,0,0,0,0,2,63,14,3
"BGR_008_MZB_LO_1","BGR_008_MZB_LO_1-01.11.1990","01.11.1990",1990,11,1,0,0,0,0,0,50,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,70,5,0,25,10,0,0,0,0,0,0,0,0,0,50,0,0,0,0,5,440,0,0,35,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,30,0,0,0,0,105,0,5,0,0,145,475,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0
"BGR_008_MZB_LO_1","BGR_008_MZB_LO_1-01.11.2004","01.11.2004",2004,11,1,0,0,0,0,0,25,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,5,0,0,0,35,0,0,0,5,0,0,0,0,0,0,0,10,0,30,0,0,0,5,155,0,0,0,0,5,0,5,0,0,20,55,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"BGR_008_MZB_LO_1","BGR_008_MZB_LO_1-01.09.2005","01.09.2005",2005,9,1,0,0,0,0,0,45,150,0,25,0,0,0,0,0,0,0,0,0,85,0,0,5,0,15,0,20,0,0,10,0,0,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,80,0,0,0,0,30,0,10,0,0,0,0,150,10,0,290,5,0,0,0,30,0,0,0,0,0,0,0,0,35,0,0
"BGR_008_MZB_LO_1","BGR_008_MZB_LO_1-01.09.2007","01.09.2007",2007,9,1,0,0,0,0,0,0,175,0,0,0,0,0,0,30,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0
"BGR_008_MZB_LO_1","BGR_008_MZB_LO_1-01.10.2010","01.10.2010",2010,10,1,0,0,10,0,0,0,270,0,10,10,0,0,0,10,270,90,0,0,0,0,0,10,0,10,0,160,10,0,0,0,0,0,0,540,0,0,0,0,0,0,20,0,0,70,0,120,0,0,0,180,0,0,0,0,0,0,0,0,0,310,0,10,0,0,0,100,0,0,0,0,0,0,40,0,30,0,0,0,0,70,0,0,0,0,0,0,0,10,10,0,0
"BGR_008_MZB_LO_1","BGR_008_MZB_LO_1-01.10.2011","01.10.2011",2011,10,1,0,0,0,0,0,2,26,0,1,0,0,0,1,0,27,3,0,0,0,0,0,0,0,0,0,107,4,0,49,2,0,0,2,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,1,1,12,0,0,0,0,0,0,0,0,9,0,0,0,13,0,0,0,0,0,0,0,25,0,0,7,12,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0
"BGR_008_MZB_LO_1","BGR_008_MZB_LO_1-01.09.2012","01.09.2012",2012,9,1,0,0,60,0,0,2,74,0,13,0,0,0,0,0,81,0,0,0,0,0,0,0,4,16,0,91,27,160,0,0,0,0,0,0,0,0,23,0,9,0,0,0,0,0,1,4,0,0,1,0,23,2,0,0,0,0,0,0,0,2,0,0,0,18,7,0,2,0,0,1,0,26,10,0,33,21,2,0,0,1,0,0,3,4,5,0,0,0,0,0,0
"BGR_008_MZB_LO_2","BGR_008_MZB_LO_2-01.09.1978","01.09.1978",1978,9,1,0,0,0,0,0,0,45,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,5,0,0,0,0,0,0,0
