"Unique.ID","Samp.ID","Sampling.date","year","month","day","AGAPETUS OCHRIPES","AMELETUS INOPINATUS","APATANIA SP.","ARCTOPSYCHE LADOGENSIS","BAETIDAE GEN. SP.","BRACHYPTERA RISI","CAPNIIDAE GEN. SP.","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLIDAE GEN. SP.","DIPTERA GEN. SP.","ELMINAE GEN. SP.","EMPIDIDAE GEN. SP.","EPHEMERELLA ARONI","EPHEMERELLA MUCRONATA","EPHEMEROPTERA GEN. SP.","GASTROPODA GEN. SP.","GLOSSOSOMA SP.","GYRAULUS ACRONICUS","HEPTAGENIIDAE GEN. SP.","HYDRACHNIDIA GEN. SP.","HYDRAENA SP.","HYDROPSYCHE SP.","HYDROPTILIDAE GEN. SP.","LEPIDOSTOMATIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRIDAE GEN. SP.","LEUCTRIDAE/CAPNIIDAE GEN. SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","MICRASEMA SETIFERUM SSP.","NEMATOMORPHA GEN. SP.","NEMOURIDAE GEN. SP.","OLIGOCHAETA GEN. SP.","PEDICIIDAE GEN. SP.","PERLODIDAE GEN. SP.","PHILOPOTAMUS MONTANUS SSP.","PLECOPTERA GEN. SP.","POLYCENTROPODIDAE GEN. SP.","PSYCHODIDAE GEN. SP.","RADIX BALTHICA/LABIATA","RHYACOPHILA SP.","SERICOSTOMA PERSONATUM","SIALIS SP.","SIMULIIDAE GEN. SP.","TAENIOPTERYX NEBULOSA","TIPULIDAE GEN. SP."
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-23.09.1999","23.09.1999",1999,9,23,0,13,0,1,928,2,48,0,568,3,16,2,0,72,48,0,0,1,0,248,40,0,1,0,0,0,2,0,0,0,0,0,120,112,0,21,0,0,3,0,2,10,0,0,1,1,0
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-10.10.2013","10.10.2013",2013,10,10,8,28,0,8,852,16,100,24,584,4,2,10,6,28,208,0,0,2,0,104,0,0,30,0,8,4,84,0,16,0,0,2,826,56,48,52,0,0,4,0,4,40,4,0,0,24,0
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-09.10.2014","09.10.2014",2014,10,9,1,5,0,6,978,8,62,16,388,6,0,12,3,10,34,0,0,1,0,48,20,0,25,0,2,1,10,0,7,0,0,0,348,18,30,57,0,0,3,0,12,28,3,0,6,4,0
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-15.10.2015","15.10.2015",2015,10,15,0,1,0,42,678,14,66,6,360,13,0,2,0,4,14,0,0,1,0,44,10,0,28,0,4,3,30,0,6,2,0,0,546,42,64,72,0,0,1,0,8,10,2,0,8,14,0
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-28.10.2016","28.10.2016",2016,10,28,0,16,0,7,844,10,150,2,280,4,0,0,0,2,74,0,0,0,0,148,48,1,28,0,1,3,7,32,1,2,0,0,450,104,42,16,0,0,1,0,3,5,3,0,12,3,1
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-19.10.2017","19.10.2017",2017,10,19,0,28,8,1,580,4,130,1,248,1,0,0,0,4,40,0,0,0,0,64,14,0,4,2,16,1,18,0,1,1,0,0,297,152,24,10,0,0,1,0,1,2,1,0,4,4,2
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-11.10.2018","11.10.2018",2018,10,11,0,7,0,1,67,0,48,10,60,6,0,1,0,1,8,0,0,0,0,42,3,1,0,0,1,0,1,0,1,0,0,0,27,104,1,2,0,3,0,0,5,1,0,0,0,0,0
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-17.10.2019","17.10.2019",2019,10,17,0,1,0,2,534,12,9,1,640,0,0,3,4,8,2,1,4,0,0,72,10,1,8,0,1,0,6,4,4,0,2,0,64,84,22,18,1,1,0,4,12,1,0,0,92,6,0
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-21.10.2020","21.10.2020",2020,10,21,0,124,0,0,614,1,38,7,736,1,0,5,1,20,6,0,0,1,0,64,12,12,0,5,2,0,1,1,24,1,0,0,44,768,32,12,0,1,1,8,16,5,3,0,32,1,1
"NOR_029_MZB_LO_3","NOR_029_MZB_LO_3-06.10.2021","06.10.2021",2021,10,6,0,60,2,2,251,0,53,2,144,2,0,6,0,32,0,0,0,0,1,27,0,0,7,0,3,1,2,0,25,3,1,0,4,264,24,28,0,0,1,1,14,1,0,0,3,5,1
