"Unique.ID","Samp.ID","Sampling.date","year","month","day","AGABUS UNDULATUS","AGAPETUS FUSCIPES","AGAPETUS OCHRIPES","AMPHINEMURA SP.","AMPULLACEANA BALTHICA","ANACAENA GLOBULUS","ANAX SP.","ANCYLUS FLUVIATILIS","ATHERIX/IBISIA SP.","ATHRIPSODES BILINEATUS BILINEATUS","BAETIS SP.","BRACHYPTERA RISI","CAENIS LUCTUOSA","CALOPTERYX SPLENDENS","CENTROPTILUM LUTEOLUM","CERATOPOGONINAE GEN. SP.","CHALCOLESTES VIRIDIS","CHELIFERA SP.","CHIRONOMIDAE GEN. SP.","CHLOROPERLA SP.","CHRYSOPILUS SP.","CLINOCERINAE GEN. SP.","CORDULEGASTER BOLTONII","CORIXINAE GEN. SP.","CYRNUS TRIMACULATUS","DERONECTES LATUS","DICRANOTA SP.","DIXELLA SP.","DRYOPS SP.","DUGESIA SP.","ECDYONURUS VENOSUS-GR.","ELECTROGENA SP.","ELMIS SP.","EPEORUS ASSIMILIS","EPHEMERA DANICA","ERPOBDELLA TESTACEA","ERPOBDELLA VILNENSIS","ESOLUS SP.","GAMMARUS FOSSARUM","GAMMARUS PULEX","GYRAULUS ALBUS","HABROLEPTOIDES CONFUSA","HABROPHLEBIA LAUTA","HAEMOPIS SANGUISUGA","HELOBDELLA STAGNALIS","HEMERODROMIA SP.","HYDRAENA GRACILIS","HYDRAENA REYI","HYDROCYPHON DEFLEXICOLLIS","HYDROPSYCHE DINARICA","HYDROPSYCHE PELLUCIDULA","HYDROPSYCHE SAXONICA","HYDROPSYCHE SILTALAI","HYDROPTILA SP.","ISOPERLA SP.","LACCOBIUS STRIATULUS","LACCOPHILUS HYALINUS","LEPIDOSTOMA BASALE","LEPIDOSTOMA HIRTUM","LEPTOPHLEBIA MARGINATA","LEUCTRA SP.","LIMNIUS PERRISI","LIMNIUS VOLCKMARI","LIMONIIDAE GEN. SP.","LYPE SP.","MICRASEMA LONGULUM","MUSCIDAE GEN. SP.","MYSTACIDES AZUREA","NEBRIOPORUS ELEGANS","NEMOURA SP.","ODELES MARGINATA","ODONTOCERUM ALBICORNE","OECETIS TESTACEA","OECISMUS MONEDULA MONEDULA","OLIGOCHAETA GEN. SP.","ORECTOCHILUS VILLOSUS","OULIMNIUS TUBERCULATUS","PARALEPTOPHLEBIA SUBMARGINATA","PEDICIA SP.","PERLA MARGINATA","PERLODES MICROCEPHALUS","PISIDIUM SP.","PLATAMBUS MACULATUS","PLATYCNEMIS PENNIPES","PLECTROCNEMIA CONSPERSA CONSPERSA","POLYCENTROPUS FLAVOMACULATUS FLAVOMACULATUS","POLYCENTROPUS IRRORATUS","PROCLOEON BIFIDUM","PROSIMULIUM SP.","PROTONEMURA SP.","PYRRHOSOMA NYMPHULA","RHITHROGENA SEMICOLORATA-GR.","RHYACOPHILA DORSALIS/NUBILA","SERICOSTOMA FLAVICORNE/PERSONATUM","SIALIS FULIGINOSA","SIALIS LUTARIA","SILO NIGRICORNIS","SILO PICEUS","SIMULIUM SP.","SIPHLONURUS SP.","SIPHONOPERLA SP.","TABANIDAE GEN. SP.","TIPULA SP.","TORLEYA MAJOR"
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-14.04.2010","14.04.2010",2010,4,14,0,0,0,4,0,0,0,2.8,12,0,74,20.8,0,0.8,0,16,0,0,46,0,0,0,0.8,0,0,2.8,0,0,0,4,11.6,0,8,2,38,0,0,0,0,0,0,0.8,4,0,0,0,0,0,106,7.6,7.6,0,4.8,0,0.8,0,0,0,0,0,18,32,66,32,2,0,0,0,0,2,0,8,0,0,4,2,4,0,0,0,0,2,0,0,0,4,0,0,106,32.8,0,20,0,11.6,1.6,0,0,0,4,0,10,0,0,0
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-15.04.2011","15.04.2011",2011,4,15,0,0,0,0,0,0,0,4,0,0,4.8,0,0,0,0,4,0,0,36,4.8,0,0,0,1.6,0,2.4,0,0,0,0,14,4,0,0,24.8,0,0,0,0,0,0,55.2,1.6,0,0,0,0,0,2.4,0,1.6,0,0,0,0,0,0,0,0,0,3.2,4.8,16,12.8,0,0,0,0.8,0,4,0,5.6,0,0.8,0.8,0.8,7.2,0,0,0,0,0,0,0,2.4,1.6,0,0,0,0,0,6.6,0,5.6,4.8,0,0,0,0.8,0,19.2,0,0,0
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-13.04.2012","13.04.2012",2012,4,13,0,3.428571429,0,0,0,0,0.8,16.91428571,0,0,53.02857143,0,0,9.2,0,61.71428571,0,0,150.85714286,0,0,0,4.228571429,0,0,4.228571429,0,0,0,0,10,0,17.142857147,0.8,66.74285714,0,0,0,0,0,0,26,91,0,0,0,27.42857143,0,226.2857143,9.9,4.6,0,0,0,3.428571429,0,0,0,0,0,30.85714286,20.57142857,37.71428571,13.71428571,0,0,0,0,0,3.428571429,0,4.228571429,0,0,17.942857139,0,72,0,3.428571429,0,0,0,0,0,0,6.857142857,0,0,3.428571429,17.14285714,0,20,0,20.57142857,10,0,0,0,3.428571429,0,51.42857143,0,0,0
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-15.04.2013","15.04.2013",2013,4,15,0,0,0,0,0,0,0,0,15.52941176,0,15.2,0,0,2.211764706,5.647058824,2.823529412,0,0,121.4117647,4.235294118,0,0,0,0,0,2.211764706,0,0,0,0,8.470588235,0,1.411764706,0,48,0,0,1.411764706,0,0,0,2,45.6,0,0,0,8.470588235,0,12.70588235,2.8,0,0,0,0,2.823529412,0,0,0,0,0,9.882352941,12.705882356,8.470588235,2.823529412,0,0,0,0,0,34.87058824,0,8.470588235,0,0,0,1.411764706,18.352941176,0,0,0,0,2.823529412,0,0,1.411764706,4.235294118,1.411764706,0,0,0,0,1.411764706,0,4.235294118,12.1,0,0,0,28.235294118,0,15.52941176,1.411764706,0,0
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-10.04.2014","10.04.2014",2014,4,10,0,0,0,4,0,0,0,28.8,1.6,0,91,0,0,0.8,16,4,0,0,461.6,0,0,0,0,16,0.8,2.4,0,4,0,0,2.4,0,4,0,200.8,0,0,0,0,0,0,64,216,0,0,0,4,0,44,2.4,0.8,0,4,0,0,0,0,0,0,1.6,0,0,52.8,4,0,0,0,8,0,96,0,14.4,0,8,8,4,152,0,0,1.6,0,4,0,0,12,0.8,0.8,0,0,12.8,0,0.8,0,5.6,36.8,0,0,0,24.8,8,8.8,0,0,0
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-15.04.2015","15.04.2015",2015,4,15,0,0,0,1.6,0,0.8,0,23.2,12,0,10.4,0,0,2.4,0,4,0,0.8,35.2,0,0,0,3.2,1.6,3.2,0.8,0,0,0,1.6,3.2,0,4.8,0,36,0,0.8,0,0,0,0,9.4,13.2,0,0,0,0,0,11.2,0,1,0,2.2,0,1.6,0,0,0,0,0,0,4,14.4,0.8,0,0,0,0,0,0.8,0.8,2.4,0,0,4.8,0,14.4,0,0,0.8,0,1.6,0,0,1.6,0.8,0.8,0,0.8,6.4,0,2.4,0,12.8,4,0,0,0,16,0,0.8,0,0,0.8
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-08.04.2016","08.04.2016",2016,4,8,0.8,0,0,0,4,0,0,10.8,8,0,32.8,0,0,2.8,2,26,0,0,148,4,0,0,0,0,0,5.6,0,0,0,0.8,7.6,0,2,0,59.6,0,0,0,0,0,0,1.6,72,0,2,0,2,0,16,0,0,0,0,4,5.6,0,0,0,0,0,0,2,16,0,0,0,2,0,0,4,6,3.6,0,0,8.8,4,38.8,11.6,0,0,0.8,8,0,4,0,12,0,0,2,4,0,0,0,10.8,18.8,4,0,0,32.8,0,8,0,0,0
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-13.04.2017","13.04.2017",2017,4,13,0,0,0,4.8,0,0,0,24,15.2,0,98.4,0,0,5.6,0,19.2,4.8,0,174.4,0,0,0,0,0,2.4,3.2,0,0,0,4.8,9.6,0,2.4,0,98.4,0,0,0,4.8,0,0,12.4,124,0,0.8,0,4.8,0,2.4,0,2.4,0,0,0,0,0,0,0,0,1.6,0,4.8,12,0,0,0,0,0,0,7.2,0,0.8,0,0,4.8,2.4,21.6,10.6,0,2.4,0,0,0,4.8,0,12,0,1.6,0,0,0.8,2.4,0,17.6,3.2,0,0,0,27.2,0,4.8,4.8,2.4,0
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-18.04.2018","18.04.2018",2018,4,18,0,0,0,8,0,4,0,4,24,0,368.8,0,0,4,0,28,0,0,268,0,0,0,0,0,8,1.6,4,0,0,4,8.8,0,52,0,28.8,0,0,68,0,0,0,10,148,0,0,0,16,0,224,0,12,0,0,0,5.6,0,0,0,0,0,12,0,60,0,0,0,0,0,0,32.8,4,0,0,0,16,8.8,104,1.6,0,1.6,0,0,0,0,0,20,0,0,56,24,1.6,16.8,0,0,0.8,4,0,0,180,0,64,4,0,0
"GER_017_MZB_LO_3","GER_017_MZB_LO_3-08.04.2019","08.04.2019",2019,4,8,0,0,0,2.4,12,2.4,0,9.6,0,0,0,8,0,2.4,12,0,0,0,175.2,0,0,0,0.8,0,7.2,5.6,0,0.8,0,2.4,0,0,7.2,0,28.8,0,0,9.6,0,0,0,0,91.2,0,0,0,9.6,0,48,0,0,0,0,0,1.6,0,0,0,0,0,0,2.4,50.4,2.4,0,0,0,2.4,0,33.6,0,0,2.4,0,26.4,0,124.8,7.2,0,0,0,16.8,0,21.6,0,0,0,0,27.2,2.4,2.4,0,0,5.6,22.4,0,0,0,43.2,0,4.8,0,0,0
