averaged
Bivalvia Gen. sp.
Hydrozoa Gen. sp.
Coelenterata Gen. sp.
Coleoptera Gen. sp. Ad.
Coleoptera Gen. sp. Lv.
Crustacea Gen. sp.
Amphipoda Gen. sp.
Decapoda Gen. sp.
Isopoda Gen. sp.
Diptera Gen. sp.
Ephemeroptera Gen. sp.
Gastropoda Gen. sp.
Heteroptera Gen. sp.
Hirudinea Gen. sp.
Hydrachnidia Gen. sp.
Odonata Gen. sp.
Anisoptera Gen. sp.
Zygoptera Gen. sp.
Oligochaeta Gen. sp.
Capnia/Leuctra sp.
Plecoptera Gen. sp.
Perlidae/Perlodidae Gen. sp.
Trichoptera Gen. sp.
Tricladida Gen. sp.
Platyhelminthes Gen. Sp.
ANCYLUS-GR. (INCLUDING ACROLOXIDAE)
LYPE PHAEOPA/REDUCTA
LITTORINIMORPHA GEN. SP.
PSYCHOMYIIDAE (INCL. ECNOMIDAE)
RHYACOPHILA DORSALIS/FASCIATA
SIMULIUM DUNFELLENSE/URBANUM
SIMULIUM ORNATUM/INTERMEDIUM/TRIFASCIATUM
SIPHLONURIDAE (INCLUDING AMELETIDAE)
STAGNICOLA PALUSTRIS/FUSCUS/CORVUS
SIMULIUM ORNATUM/TRIFASCIATUM
SIGARA FALLENI/IACTANS
HYDROPHILOIDEA GEN. SP.
Hydroptila/Hydropsyche sp.
Capnia/Zwicknia sp.
