"site_id","sgn_id","sample_id","year","month","day","AFGHANURUS JOERNENSIS","AGAPETUS OCHRIPES","AMELETUS INOPINATUS","AMPHINEMURA BOREALIS","AMPHINEMURA STANDFUSSI","AMPHINEMURA SULCICOLLIS","AMPULLACEANA BALTHICA","APATANIA SP.","ARCTOPSYCHE LADOGENSIS","ARCYNOPTERYX COMPACTA","BAETIS MUTICUS","BAETIS NIGER","BAETIS RHODANI","BAETIS SCAMBUS","BAETIS SUBALPINUS","BRACHYPTERA RISI","CAPNIA ATRA","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","DINOCRAS CEPHALOTES","DIPTERA GEN. SP.","DIURA NANSENI","ELMIS AENEA","EPHEMERELLA ARONI","EPHEMERELLA MUCRONATA","GLOSSOSOMA SP.","GORDIUS SP.","GYRAULUS ACRONICUS","HEPTAGENIA DALECARLICA","HEPTAGENIA SULPHUREA","HYDRACHNIDIA GEN. SP.","HYDRAENIDAE GEN. SP.","HYDROPSYCHE SP.","HYDROPTILA SP.","ISOPERLA DIFFORMIS","ISOPERLA GRAMMATICA","ISOPERLA OBSCURA","LEPIDOSTOMA HIRTUM","LEPTOCERIDAE GEN. SP.","LEUCTRA DIGITATA/FUSCA/HIPPOPUS","LEUCTRA FUSCA SSP.","LEUCTRA HIPPOPUS","LEUCTRA NIGRA","LIMNEPHILIDAE GEN. SP.","LIMNIUS VOLCKMARI","MICRASEMA SP.","NEMOURA AVICULARIS","NEMOURA CINEREA SSP.","NEMURELLA PICTETII","OLIGOCHAETA GEN. SP.","PERICOMA SP.","PLECTROCNEMIA CONSPERSA SSP.","POLYCENTROPUS FLAVOMACULATUS SSP.","PROTONEMURA MEYERI","RHYACOPHILA NUBILA","SERICOSTOMA PERSONATUM","SERRATELLA IGNITA","SIALIS SP.","SILO PALLIPES","SIMULIIDAE GEN. SP.","SIPHLONURUS LACUSTRIS","SIPHONOPERLA BURMEISTERI","TAENIOPTERYX NEBULOSA","ZWICKNIA BIFRONS"
111000004,"NOR_030_MZB_LO_1","111000004_26.06.2003",2003,"6",26,0,0,2,1,0,5,0,2,0,1,0,0,350,0,0,0,0,0,20,0,11,10,0,15,0,3,0,0,4,0,5,0,0,0,0,2,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,40,0,0,0,0
111000004,"NOR_030_MZB_LO_1","111000004_07.07.2004",2004,"7",7,0,0,0,4,0,0,0,4,0,0,0,0,55,0,0,0,0,0,5,0,0,0,0,8,2,0,0,0,1,0,0,0,0,0,0,6,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,1,0
111000004,"NOR_030_MZB_LO_1","111000004_04.07.2005",2005,"7",4,5,0,0,0,0,0,0,0,0,0,25,0,350,30,15,0,0,0,15,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,35,0,0,0,0
111000004,"NOR_030_MZB_LO_1","111000004_22.06.2006",2006,"6",22,0,0,0,1,0,0,0,0,0,0,0,0,380,0,0,1,0,0,5,0,0,1,0,15,0,1,0,0,1,0,2,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,10,0,0,0,0
111000004,"NOR_030_MZB_LO_1","111000004_13.06.2007",2007,"6",13,0,0,0,0,0,5,0,21,0,0,0,0,500,0,0,0,1,0,35,0,0,2,0,12,0,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,300,0,0,0,0
111000004,"NOR_030_MZB_LO_1","111000004_16.06.2008",2008,"6",16,0,0,1,1,0,0,0,3,0,0,0,0,185,0,0,0,0,0,10,0,1,1,0,2,0,20,0,0,1,0,2,0,0,0,0,0,13,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0
111000004,"NOR_030_MZB_LO_1","111000004_21.06.2010",2010,"6",21,0,0,1,0,0,1,0,12,0,0,0,0,190,0,0,0,0,0,30,0,1,2,0,75,0,20,0,0,2,0,8,0,0,0,0,2,25,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,10,0,0,0,0
111000004,"NOR_030_MZB_LO_1","111000004_20.06.2011",2011,"6",20,0,0,1,5,0,0,0,3,0,0,0,0,280,0,0,1,0,0,55,0,3,2,0,60,0,1,1,0,3,0,35,0,0,0,0,1,75,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,7,0,0,0,0,10,0,0,0,0
111000004,"NOR_030_MZB_LO_1","111000004_06.06.2012",2012,"6",6,0,0,1,0,0,0,0,30,0,0,0,0,350,0,0,0,1,0,20,0,3,5,0,50,0,0,0,0,0,0,15,0,0,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,25,0,0,0,0,5,0,0,0,0
111000004,"NOR_030_MZB_LO_1","111000004_10.06.2013",2013,"6",10,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,13,0,0,1,0,7,0,0,0,0,0,0,25,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,5,0,0,0,0
